Timestamp,CogSci Student year,Gender,"1. Whenever I’m faced with a choice, I try to imagine what all the other possibilities are, even ones that aren’t present at the moment. (1= completely disagree, 7 = completely agree)","2. No matter how satisfied I am with my job, it’s only right for me to be on the lookout for better opportunities (1= completely disagree, 7 = completely agree).","3. When I am in the car listening to the radio, I often check other stations to see if something better is playing, even if I am relatively satisfied with what I’m listening to. (1= completely disagree, 7 = completely agree).","4. When I watch TV, I channel surf, often scanning through the available options even while attempt- ing to watch one program. (1= completely disagree, 7 = completely agree).","5. I treat relationships like clothing: I expect to try a lot on before finding the perfect fit. (1= completely disagree, 7 = completely agree).","6. I often find it difficult to shop for a gift for a friend. (1= completely disagree, 7 = completely agree).","7. Seeing a film is really difficult. I’m always struggling to pick the best one. (1= completely disagree, 7 = completely agree).","8. When shopping, I have a hard time finding cloth-ing that I really love. (1= completely disagree, 7 = completely agree).","9. I’m a big fan of lists that attempt to rank things (the best movies, the best singers, the best athletes, the best novels, etc.). (1= completely disagree, 7 = completely agree).","10. I find that writing is very difficult, even if it’s just writing a letter to a friend, because it’s so hard to word things just right. I often do several drafts of even simple things. (1= completely disagree, 7 = completely agree).","11. No matter what I do, I have the highest standards for myself. (1= completely disagree, 7 = completely agree).","12. I never settle for second best. (1= completely disagree, 7 = completely agree).","13. I often fantasize about living in ways that are quitedifferent from my actual life. (1= completely disagree, 7 = completely agree).","1. Once I make a decision, I don’t look back. (1= completely disagree, 7 = completely agree).","2. Whenever I make a choice, I’m curious about what would have happened if I had chosen differently. (1= completely disagree, 7 = completely agree).","3. If I make a choice and it turns out well, I still feel like something of a failure if I find out that anotherchoice would have turned out better. (1= completely disagree, 7 = completely agree).","4. Whenever I make a choice, I try to get information about how the other alternatives turned out. (1= completely disagree, 7 = completely agree).","5. When I think about how I’m doing in life, I often assess opportunities I have passed up. (1= completely disagree, 7 = completely agree).","1. In general, I consider myself (1= not a very happy person, 7 = a very happy person).","2. Compared to most of my peers, I consider myself: (1= less happy, 7 = more happy).","3. Some people are generally very happy. They enjoy life regardless of what is going on, getting the most out of everything. To what extent does this characterization describe you? (1= not at all, 7 = a great deal).","4. Some people are generally not very happy. Although they are not depressed, they never seem as happy as they might be. To what extend does this characterization describe you? (1= not at all, 7 = a great deal)."
2/1/2021 19:43:35,1995,Male,5,2,1,2,2,6,3,6,6,2,5,4,5,5,3,4,4,3,5,4,3,5
2/1/2021 17:33:42,2015,Female,5,6,1,1,1,4,4,4,2,2,5,1,7,5,3,2,4,1,5,6,6,2
2/1/2021 20:56:06,2015,Female,6,4,3,2,1,4,3,3,5,3,7,3,5,2,3,5,2,2,3,3,2,4
2/2/2021 8:13:36,2015,Female,6,4,4,3,3,6,6,4,3,6,6,2,6,3,5,6,3,6,6,7,6,2
2/3/2021 8:38:58,2015,Female,4,5,2,4,2,3,4,4,2,2,3,2,3,3,5,2,3,4,5,5,4,3
2/1/2021 17:21:14,2016,Male,5,5,2,1,1,6,3,5,4,6,6,6,5,3,4,2,4,3,5,4,4,2
2/1/2021 17:59:33,2016,Male,4,3,2,3,1,2,6,5,3,7,5,4,6,4,5,2,1,1,4,2,4,1
2/1/2021 20:09:05,2016,Female,2,2,5,1,2,4,6,1,7,2,5,4,7,4,2,5,3,2,7,5,5,2
2/1/2021 20:34:31,2016,Female,7,3,1,1,2,6,5,7,4,5,6,4,7,2,6,5,6,5,5,4,4,6
2/2/2021 9:53:10,2016,Female,3,5,2,1,2,5,2,2,4,2,4,1,5,2,5,1,3,1,6,5,5,2
2/1/2021 18:01:43,2017,Female,6,2,4,2,5,2,5,4,6,7,5,5,7,4,6,7,6,4,5,4,5,2
2/1/2021 18:46:26,2017,Female,5,3,2,1,3,4,6,4,5,6,5,3,5,3,7,4,2,3,6,6,6,1
2/2/2021 11:48:52,2017,Female,3,5,2,2,4,3,5,3,6,6,6,5,6,2,6,5,5,5,5,5,3,5
2/2/2021 12:29:55,2017,Female,6,5,2,3,3,7,6,3,6,4,5,6,5,2,6,5,2,2,5,5,5,2
2/1/2021 17:21:43,2018,Female,6,4,3,2,7,3,5,3,2,6,6,4,7,4,4,5,5,3,4,3,3,5
2/1/2021 18:03:27,2018,Female,3,2,3,2,2,5,3,4,2,1,6,5,2,3,5,5,1,2,6,5,6,2
2/1/2021 18:59:27,2018,Female,7,5,6,5,3,5,6,4,6,4,6,4,6,1,6,3,5,6,4,5,5,2
2/1/2021 19:11:38,2018,Male,5,5,5,4,3,6,3,3,5,6,3,4,7,5,4,4,4,5,4,5,3,5
