"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"980","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","78","html-keyboard-response","0","983","0.0-0.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","","","","","","","","",""
"10263","","","survey-text","1","11271","0.0-1.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","{""Q0"":"" ID88""}","","","","","","","",""
"3149","","","survey-text","2","14426","0.0-2.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","{""Q0"":""23""}","","","","","","","",""
"4604","","","survey-multi-select","3","19032","0.0-3.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3983","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23017","0.0-4.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","","","50","69","","","","",""
"6455.000000000004","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","29473","0.0-5.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","","","50","26","","","","",""
"7530","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","37004","0.0-6.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","","","50","27","","","","",""
"23955","","","survey-multi-select","7","60970","0.0-7.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","{""Sleep"":[""1""],""Eat"":[""13"",""15""]}","[0,1]","","","","","","",""
"7765","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","68737","0.0-8.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","71741","0.0-9.0-0.0","xuz6fx","Thu Feb 10 2022 10:03:23 GMT+0100 (CET)","2022","2","10","10","3","23"," ID88","23","female","right","69","26","27","1","13,15","","","","","fixation","","","",""
