"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"16275.59999999404","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","16278","0.0-0.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","","","","","","",""
"3132.9000000059605","","","survey-text","1","19421","0.0-1.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","{""Q0"":"" ""}","","","","","","","",""
"899.4000000059605","","","survey-text","2","20324","0.0-2.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","{""Q0"":""""}","","","","","","","",""
"19473.60000000894","","","survey-multi-select","3","39805","0.0-3.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","{""Gender"":[""other""],""Hand"":[""No difference""]}","[0,1]","","","","","","",""
"2854.2000000029802","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","42664","0.0-4.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","50","50","","","","",""
"1241.7999999970198","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","43908","0.0-5.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","50","50","","","","",""
"1177.6000000089407","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","45088","0.0-6.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","50","50","","","","",""
"9076.60000000894","","","survey-multi-select","7","54191","0.0-7.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","{""Sleep"":[""0""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"17641.20000000298","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","71834","0.0-8.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","75339","0.0-9.0-0.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","","","fixation","","","",""
"942.1999999880791","img/image_stim_f_stroop.png","72","image-keyboard-response","10","76308","0.0-9.0-1.0","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","77317","0.0-9.0-0.1","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","","","fixation","","","",""
"354.40000000596046","img/image_stim_f.png","72","image-keyboard-response","12","77674","0.0-9.0-1.1","53g7q0","Mon Nov 08 2021 17:46:36 GMT+0100 (Central European Standard Time)","2021","11","8","17","46","36"," ","","other","No difference","50","50","50","0","0","","","","","test","fear","fear","f","false"
