"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"5122","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","5126","0.0-0.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","","","","",""
"907","","","survey-text","1","6040","0.0-1.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","{""Q0"":"" ""}","","","","","","","",""
"477","","","survey-text","2","6522","0.0-2.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","{""Q0"":""""}","","","","","","","",""
"2809","","","survey-multi-select","3","9339","0.0-3.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","{""Gender"":[""other""],""Hand"":[""No difference""]}","[0,1]","","","","","","",""
"484","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","9828","0.0-4.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","50","50","","","","",""
"384","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","10213","0.0-5.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","50","50","","","","",""
"399","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","10615","0.0-6.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","50","50","","","","",""
"2497","","","survey-multi-select","7","13133","0.0-7.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","{""Sleep"":[""9""],""Eat"":[""9""]}","[0,1]","","","","","","",""
"2808","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","15945","0.0-8.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","18454","0.0-9.0-0.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","fixation","","","",""
"8","img/image_stim_h.png","72","image-keyboard-response","10","18470","0.0-9.0-1.0","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","19477","0.0-9.0-0.1","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","fixation","","","",""
"378","img/image_stim_h_stroop.png","32","image-keyboard-response","12","19859","0.0-9.0-1.1","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","21866","0.0-9.0-0.2","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","fixation","","","",""
"321","img/image_stim_f.png","32","image-keyboard-response","14","22192","0.0-9.0-1.2","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","23702","0.0-9.0-0.3","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","fixation","","","",""
"329","img/image_stim_f_stroop.png","72","image-keyboard-response","16","24033","0.0-9.0-1.3","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","26041","0.0-9.0-0.4","sd4kr5","Mon Feb 08 2021 11:05:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","5","34"," ","","other","No difference","50","50","50","9","9","","","","","fixation","","","",""
