"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4806.149999960326","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4807","0.0-0.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","","","","",""
"10518.634999985807","","","survey-text","1","15328","0.0-1.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","{""Q0"":""mw73""}","","","","","","","",""
"2733.829999982845","","","survey-text","2","18064","0.0-2.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","{""Q0"":""47""}","","","","","","","",""
"4526.260000013281","","","survey-multi-select","3","22593","0.0-3.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5885.999999998603","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","28480","0.0-4.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","50","52","","","","",""
"5354.6450000139885","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","33836","0.0-5.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","50","57","","","","",""
"19122.25999997463","","","survey-multi-select","6","52971","0.0-6.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","{""Sleep"":[""4""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"12449.114999966696","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","7","65421","0.0-7.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","68179","0.0-8.0-0.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","9","73182","0.0-8.0-1.0","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","73935","0.0-8.0-0.1","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","11","78939","0.0-8.0-1.1","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","79692","0.0-8.0-0.2","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","13","84696","0.0-8.0-1.2","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","85453","0.0-8.0-0.3","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"null","img/image_stim_h.png","null","image-keyboard-response","15","90454","0.0-8.0-1.3","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","90960","0.0-8.0-0.4","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"1640.2400000370108","img/image_stim_f_stroop.png","70","image-keyboard-response","17","92601","0.0-8.0-1.4","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","18","94107","0.0-8.0-0.5","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"753.7649999721907","img/image_stim_h.png","72","image-keyboard-response","19","94863","0.0-8.0-1.5","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","20","95116","0.0-8.0-0.6","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"819.2449999623932","img/image_stim_h_stroop.png","72","image-keyboard-response","21","95937","0.0-8.0-1.6","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","22","97943","0.0-8.0-0.7","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"711.5500000072643","img/image_stim_f.png","70","image-keyboard-response","23","98655","0.0-8.0-1.7","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","24","99911","0.0-8.0-0.8","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"623.5999999917112","img/image_stim_f.png","70","image-keyboard-response","25","100536","0.0-8.0-1.8","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","26","101792","0.0-8.0-0.9","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"575.310000043828","img/image_stim_h.png","72","image-keyboard-response","27","102368","0.0-8.0-1.9","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","28","103625","0.0-8.0-0.10","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"683.8899999856949","img/image_stim_h_stroop.png","72","image-keyboard-response","29","104310","0.0-8.0-1.10","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","30","105312","0.0-8.0-0.11","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"998.9649999770336","img/image_stim_f_stroop.png","70","image-keyboard-response","31","106313","0.0-8.0-1.11","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","32","108319","0.0-8.0-0.12","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"611.594999965746","img/image_stim_h.png","72","image-keyboard-response","33","108932","0.0-8.0-1.12","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","34","109435","0.0-8.0-0.13","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"796.9499999890104","img/image_stim_f.png","70","image-keyboard-response","35","110234","0.0-8.0-1.13","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","36","111986","0.0-8.0-0.14","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"695.2199999941513","img/image_stim_f_stroop.png","70","image-keyboard-response","37","112683","0.0-8.0-1.14","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","38","112935","0.0-8.0-0.15","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"820.9299999871291","img/image_stim_h_stroop.png","72","image-keyboard-response","39","113757","0.0-8.0-1.15","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","40","115261","0.0-8.0-0.16","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"662.4900000169873","img/image_stim_h_stroop.png","72","image-keyboard-response","41","115924","0.0-8.0-1.16","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","42","116178","0.0-8.0-0.17","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"807.280000008177","img/image_stim_f_stroop.png","70","image-keyboard-response","43","116987","0.0-8.0-1.17","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","44","118990","0.0-8.0-0.18","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","fixation","","","",""
"572.5850000162609","img/image_stim_f.png","70","image-keyboard-response","45","119564","0.0-8.0-1.18","404m6n","Sun Feb 07 2021 12:26:02 GMT+0100 (Central European Standard Time)","2021","2","7","12","26","2","mw73","47","male","right","52","57","4","0","","","","","test","fear","fear","f","true"
