"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"17332","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","17335","0.0-0.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","","","","","","","","",""
"21023","","","survey-text","1","38372","0.0-1.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","{""Q0"":""mw73""}","","","","","","","",""
"4841","","","survey-text","2","43220","0.0-2.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","{""Q0"":""47""}","","","","","","","",""
"2726","","","survey-multi-select","3","45950","0.0-3.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","{""Gender"":[""male""]}","[0]","","","","","","",""
"4541","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","50492","0.0-4.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","","","50","72","","","","",""
"3379","<p>How Tired/Sleepy or Fresh/Awake are you right now?</p>","","html-slider-response","5","53872","0.0-5.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","","","50","63","","","","",""
"15120","","","survey-multi-select","6","69005","0.0-6.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","{""Sleep"":[""2""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"31846","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p>Respond as fast as possible while being correct. <strong>Ignore</strong> the written words. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p></p><p>Press any key to begin.</p>","72","html-keyboard-response","7","100851","0.0-7.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","104105","0.0-8.0-0.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","","","","","fixation","","","",""
"1730","img/image_stim_h.png","72","image-keyboard-response","9","105836","0.0-8.0-1.0","758dzt","Sun Feb 07 2021 10:52:37 GMT+0100 (CET)","2021","2","7","10","52","37","mw73","47","male","72","63","2","1","","","","","test","happy","happy","h","true"
