"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"4007.084999990184","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","4011","0.0-0.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","","","","",""
"5181.335000030231","","","survey-text","1","9206","0.0-1.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","{""Q0"":""mw73""}","","","","","","","",""
"3973.225000023376","","","survey-text","2","13181","0.0-2.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","{""Q0"":""47""}","","","","","","","",""
"3261.820000014268","","","survey-multi-select","3","16458","0.0-3.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2564.2449999577366","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","19025","0.0-4.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","50","67","","","","",""
"2841.8049999745563","<p>How Tired/Sleepy or Fresh/Awake are you right now?</p>","","html-slider-response","5","21868","0.0-5.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","50","60","","","","",""
"3932.1750000235625","","","survey-multi-select","6","25811","0.0-6.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","{""Sleep"":[""3""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"7919.365000037942","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p>Respond as fast as possible while being correct. <strong>Ignore</strong> the written words. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p></p><p>Press any key to begin.</p>","70","html-keyboard-response","7","33738","0.0-7.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","36999","0.0-8.0-0.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","fixation","","","",""
"1860.4949999717064","img/image_stim_h.png","72","image-keyboard-response","9","38868","0.0-8.0-1.0","92q5cu","Sun Feb 07 2021 11:07:28 GMT+0100 (Central European Standard Time)","2021","2","7","11","7","28","mw73","47","male","right","67","60","3","1","","","","","test","happy","happy","h","true"
