"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"16118684","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","44647772","0.0-0.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","","","","",""
"7082","","","survey-text","1","44655052","0.0-1.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","{""Q0"":""AM07""}","","","","","","","",""
"2479","","","survey-text","2","44657542","0.0-2.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","{""Q0"":""31""}","","","","","","","",""
"2904","","","survey-multi-select","3","44660466","0.0-3.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6370","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","44666842","0.0-4.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","50","75","","","","",""
"4583","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","44671425","0.0-5.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","50","37","","","","",""
"4970.000000001863","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","44676397","0.0-6.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","50","91","","","","",""
"8731","","","survey-multi-select","7","44685146","0.0-7.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","{""Sleep"":[""2""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"5906","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","85","html-keyboard-response","8","44691075","0.0-8.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","44693833","0.0-9.0-0.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"752","img/image_stim_f.png","70","image-keyboard-response","10","44694615","0.0-9.0-1.0","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","44696663","0.0-9.0-0.1","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"594","img/image_stim_f_stroop.png","70","image-keyboard-response","12","44697262","0.0-9.0-1.1","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","44698771","0.0-9.0-0.2","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"503","img/image_stim_h_stroop.png","72","image-keyboard-response","14","44699278","0.0-9.0-1.2","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","44700287","0.0-9.0-0.3","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"406","img/image_stim_h.png","72","image-keyboard-response","16","44700697","0.0-9.0-1.3","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","44702706","0.0-9.0-0.4","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"504","img/image_stim_f.png","70","image-keyboard-response","18","44703213","0.0-9.0-1.4","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","44703970","0.0-9.0-0.5","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"497","img/image_stim_h.png","72","image-keyboard-response","20","44704471","0.0-9.0-1.5","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","44706479","0.0-9.0-0.6","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"493.00000000186265","img/image_stim_f_stroop.png","70","image-keyboard-response","22","44706974","0.0-9.0-1.6","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","44707231","0.0-9.0-0.7","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"465","img/image_stim_h_stroop.png","72","image-keyboard-response","24","44707700","0.0-9.0-1.7","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","44708956","0.0-9.0-0.8","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
"651.0000000018626","img/image_stim_f.png","70","image-keyboard-response","26","44709611","0.0-9.0-1.8","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","44711118","0.0-9.0-0.9","mz1p34","Mon Feb 15 2021 22:46:57 GMT+0100 (CET)","2021","2","15","22","46","57","AM07","31","female","right","75","37","91","2","0","","","","","fixation","","","",""
