"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"36641","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","36652","0.0-0.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","","","","",""
"26096","","","survey-text","1","62930","0.0-1.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","{""Q0"":""AM07""}","","","","","","","",""
"3362","","","survey-text","2","66302","0.0-2.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","{""Q0"":""31""}","","","","","","","",""
"5042.000000000015","","","survey-multi-select","3","71369","0.0-3.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5839.999999999985","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","77222","0.0-4.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","50","90","","","","",""
"7459","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","84682","0.0-5.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","50","17","","","","",""
"3550","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","88234","0.0-6.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","50","17","","","","",""
"23502","","","survey-multi-select","7","111759","0.0-7.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","{""Sleep"":[""14""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"32765.999999999985","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","144530","0.0-8.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","148297","0.0-9.0-0.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"982","img/image_stim_f_stroop.png","70","image-keyboard-response","10","149307","0.0-9.0-1.0","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","149831","0.0-9.0-0.1","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"783.0000000000291","img/image_stim_h_stroop.png","72","image-keyboard-response","12","150622","0.0-9.0-1.1","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","151378","0.0-9.0-0.2","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"696","img/image_stim_h.png","72","image-keyboard-response","14","152082","0.0-9.0-1.2","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","153836","0.0-9.0-0.3","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"733","img/image_stim_f.png","70","image-keyboard-response","16","154577","0.0-9.0-1.3","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","155331","0.0-9.0-0.4","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"594","img/image_stim_f_stroop.png","70","image-keyboard-response","18","155931","0.0-9.0-1.4","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","156684","0.0-9.0-0.5","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"649","img/image_stim_h.png","72","image-keyboard-response","20","157338","0.0-9.0-1.5","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","158844","0.0-9.0-0.6","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
"529.0000000000291","img/image_stim_f.png","70","image-keyboard-response","22","159377","0.0-9.0-1.6","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","161132","0.0-9.0-0.7","p40gqx","Mon Feb 15 2021 22:43:26 GMT+0100 (CET)","2021","2","15","22","43","26","AM07","31","female","right","90","17","17","14","4","","","","","fixation","","","",""
