"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2193","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","0","2196","0.0-0.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","","","","",""
"3086","","","survey-text","1","5299","0.0-1.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","{""Q0"":""AM07""}","","","","","","","",""
"1516.999999999999","","","survey-text","2","6822","0.0-2.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","{""Q0"":""31""}","","","","","","","",""
"3075","","","survey-multi-select","3","9899","0.0-3.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2332","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","12232","0.0-4.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","50","86","","","","",""
"2716","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","14951","0.0-5.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","50","85","","","","",""
"2755","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","17706","0.0-6.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","50","14","","","","",""
"4971","","","survey-multi-select","7","22695","0.0-7.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","{""Sleep"":[""1""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"1533.9999999999964","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","8","24233","0.0-8.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","26988","0.0-9.0-0.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"631","img/image_stim_f.png","70","image-keyboard-response","10","27638","0.0-9.0-1.0","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","28144","0.0-9.0-0.1","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"653.0000000000036","img/image_stim_f_stroop.png","70","image-keyboard-response","12","28801","0.0-9.0-1.1","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","29055","0.0-9.0-0.2","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"488","img/image_stim_h.png","72","image-keyboard-response","14","29553","0.0-9.0-1.2","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","30305","0.0-9.0-0.3","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"587","img/image_stim_h_stroop.png","72","image-keyboard-response","16","30902","0.0-9.0-1.3","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","32405","0.0-9.0-0.4","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"585","img/image_stim_f_stroop.png","70","image-keyboard-response","18","32994","0.0-9.0-1.4","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","33997","0.0-9.0-0.5","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"512.9999999999927","img/image_stim_h_stroop.png","72","image-keyboard-response","20","34544","0.0-9.0-1.5","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","35549","0.0-9.0-0.6","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"500","img/image_stim_h.png","72","image-keyboard-response","22","36060","0.0-9.0-1.6","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","36314","0.0-9.0-0.7","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"570","img/image_stim_f.png","70","image-keyboard-response","24","36889","0.0-9.0-1.7","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","38643","0.0-9.0-0.8","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"534","img/image_stim_h_stroop.png","72","image-keyboard-response","26","39182","0.0-9.0-1.8","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","39937","0.0-9.0-0.9","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"520","img/image_stim_f.png","70","image-keyboard-response","28","40462","0.0-9.0-1.9","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","41967","0.0-9.0-0.10","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"547.9999999999927","img/image_stim_h.png","72","image-keyboard-response","30","42518","0.0-9.0-1.10","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","42773","0.0-9.0-0.11","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"550.9999999999927","img/image_stim_f_stroop.png","70","image-keyboard-response","32","43330","0.0-9.0-1.11","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","45085","0.0-9.0-0.12","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
"459","img/image_stim_h.png","72","image-keyboard-response","34","45547","0.0-9.0-1.12","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","47050","0.0-9.0-0.13","r415rc","Fri Feb 19 2021 09:20:59 GMT+0100 (CET)","2021","2","19","9","20","59","AM07","31","female","right","86","85","14","1","12","","","","","fixation","","","",""
