"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"129621691","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","252339216","0.0-0.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","","","","",""
"8271","","","survey-text","1","252349291","0.0-1.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","{""Q0"":""AM07""}","","","","","","","",""
"2111.999999985099","","","survey-text","2","252351422","0.0-2.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","{""Q0"":""31""}","","","","","","","",""
"4282","","","survey-multi-select","3","252355749","0.0-3.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5807","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","252361578","0.0-4.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","50","89","","","","",""
"3902.999999985099","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","252365485","0.0-5.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","50","87","","","","",""
"4120","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","252369609","0.0-6.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","50","14","","","","",""
"18977","","","survey-multi-select","7","252388645","0.0-7.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","{""Sleep"":[""1""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"15719.999999985099","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","85","html-keyboard-response","8","252404413","0.0-8.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","252406697","0.0-9.0-0.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","10","252411765","0.0-9.0-1.0","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","252412848","0.0-9.0-0.1","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","fixation","","","",""
"null","img/image_stim_h.png","null","image-keyboard-response","12","252417850","0.0-9.0-1.1","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","252419861","0.0-9.0-0.2","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","fixation","","","",""
"4733","img/image_stim_f.png","32","image-keyboard-response","14","252424607","0.0-9.0-1.2","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","252426368","0.0-9.0-0.3","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","fixation","","","",""
"528","img/image_stim_f_stroop.png","32","image-keyboard-response","16","252426905","0.0-9.0-1.3","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","252427409","0.0-9.0-0.4","sdz8ke","Tue Feb 16 2021 11:12:53 GMT+0100 (CET)","2021","2","16","11","12","53","AM07","31","female","right","89","87","14","1","12","","","","","fixation","","","",""
