"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"18048","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","18053","0.0-0.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","","","","","","","","",""
"9330","","","survey-text","1","27415","0.0-1.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","{""Q0"":""BB16""}","","","","","","","",""
"3773","","","survey-text","2","31196","0.0-2.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","{""Q0"":""20""}","","","","","","","",""
"5452","","","survey-multi-select","3","36651","0.0-3.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"11143","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","47799","0.0-4.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","","","50","71","","","","",""
"9906","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","57707","0.0-5.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","","","50","39","","","","",""
"7798","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","65507","0.0-6.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","","","50","79","","","","",""
"37090","","","survey-multi-select","7","102616","0.0-7.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","{""Sleep"":[""14""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"33687","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","136305","0.0-8.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","139064","0.0-9.0-0.0","jv00qh","Wed Feb 10 2021 21:10:08 GMT+0100 (CET)","2021","2","10","21","10","8","BB16","20","female","right","71","39","79","14","1","","","","","fixation","","","",""
