"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1560","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1559","0.0-0.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","","","","",""
"2718.000000000001","","","survey-text","1","4302","0.0-1.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","{""Q0"":""BB16""}","","","","","","","",""
"1724.000000000001","","","survey-text","2","6033","0.0-2.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","{""Q0"":""20""}","","","","","","","",""
"3029.000000000002","","","survey-multi-select","3","9064","0.0-3.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7711","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","16768","0.0-4.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","50","50","","","","",""
"3535","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","20307","0.0-5.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","50","10","","","","",""
"3859","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","24165","0.0-6.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","50","35","","","","",""
"41441","","","survey-multi-select","7","65617","0.0-7.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","{""Sleep"":[""19""],""Eat"":[""5""]}","[0,1]","","","","","","",""
"2503","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","68123","0.0-8.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","70627","0.0-9.0-0.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","fixation","","","",""
"593","img/image_stim_f_stroop.png","70","image-keyboard-response","10","71227","0.0-9.0-1.0","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","71734","0.0-9.0-0.1","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","fixation","","","",""
"500","img/image_stim_h_stroop.png","72","image-keyboard-response","12","72238","0.0-9.0-1.1","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","72742","0.0-9.0-0.2","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","fixation","","","",""
"479","img/image_stim_f.png","70","image-keyboard-response","14","73226","0.0-9.0-1.2","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","74980","0.0-9.0-0.3","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","fixation","","","",""
"520","img/image_stim_h.png","72","image-keyboard-response","16","75505","0.0-9.0-1.3","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","77508","0.0-9.0-0.4","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","fixation","","","",""
"502","img/image_stim_h.png","72","image-keyboard-response","18","78012","0.0-9.0-1.4","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","78773","0.0-9.0-0.5","jw9wxw","Tue Feb 16 2021 01:13:05 GMT+0100 (CET)","2021","2","16","1","13","5","BB16","20","female","right","50","10","35","19","5","","","","","fixation","","","",""
