"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2530","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2533","0.0-0.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","","","","",""
"2925","","","survey-text","1","5482","0.0-1.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","{""Q0"":""BB16""}","","","","","","","",""
"5001.000000000002","","","survey-text","2","10489","0.0-2.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","{""Q0"":""20""}","","","","","","","",""
"3821.999999999998","","","survey-multi-select","3","14314","0.0-3.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"9116.999999999998","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23433","0.0-4.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","50","60","","","","",""
"12151","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","35585","0.0-5.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","50","92","","","","",""
"7527","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","43113","0.0-6.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","50","43","","","","",""
"222831","","","survey-multi-select","7","265947","0.0-7.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","{""Sleep"":[""4""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"1611.9999999999418","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","267560","0.0-8.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","269813","0.0-9.0-0.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","fixation","","","",""
"495.0000000000582","img/image_stim_f.png","70","image-keyboard-response","10","270311","0.0-9.0-1.0","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","272064","0.0-9.0-0.1","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","fixation","","","",""
"468","img/image_stim_f_stroop.png","70","image-keyboard-response","12","272534","0.0-9.0-1.1","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","273788","0.0-9.0-0.2","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","fixation","","","",""
"424","img/image_stim_h.png","72","image-keyboard-response","14","274214","0.0-9.0-1.2","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","274967","0.0-9.0-0.3","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","fixation","","","",""
"411","img/image_stim_h_stroop.png","72","image-keyboard-response","16","275382","0.0-9.0-1.3","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","275883","0.0-9.0-0.4","lnnjva","Wed Feb 17 2021 11:58:11 GMT+0100 (CET)","2021","2","17","11","58","11","BB16","20","female","right","60","92","43","4","2","","","","","fixation","","","",""
