"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3746","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3746","0.0-0.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","","","","",""
"3429","","","survey-text","1","7190","0.0-1.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","{""Q0"":""BB16""}","","","","","","","",""
"2985.000000000002","","","survey-text","2","10183","0.0-2.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","{""Q0"":""20""}","","","","","","","",""
"4779","","","survey-multi-select","3","14964","0.0-3.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"8768.000000000002","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23733","0.0-4.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","50","56","","","","",""
"12040","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","35772","0.0-5.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","50","43","","","","",""
"8037","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","43810","0.0-6.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","50","36","","","","",""
"26031","","","survey-multi-select","7","69851","0.0-7.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","{""Sleep"":[""0""],""Eat"":[""13""]}","[0,1]","","","","","","",""
"11551","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","81404","0.0-8.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","84658","0.0-9.0-0.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"687.0000000000146","img/image_stim_h_stroop.png","70","image-keyboard-response","10","85349","0.0-9.0-1.0","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","87354","0.0-9.0-0.1","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"647","img/image_stim_f.png","70","image-keyboard-response","12","88004","0.0-9.0-1.1","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","89259","0.0-9.0-0.2","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"615","img/image_stim_h.png","72","image-keyboard-response","14","89876","0.0-9.0-1.2","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","91134","0.0-9.0-0.3","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"503","img/image_stim_f_stroop.png","70","image-keyboard-response","16","91641","0.0-9.0-1.3","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","92145","0.0-9.0-0.4","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"533","img/image_stim_h.png","72","image-keyboard-response","18","92681","0.0-9.0-1.4","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","93184","0.0-9.0-0.5","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"428","img/image_stim_h_stroop.png","72","image-keyboard-response","20","93615","0.0-9.0-1.5","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","95620","0.0-9.0-0.6","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"513","img/image_stim_f_stroop.png","70","image-keyboard-response","22","96136","0.0-9.0-1.6","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","97141","0.0-9.0-0.7","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"550.0000000000146","img/image_stim_f.png","70","image-keyboard-response","24","97694","0.0-9.0-1.7","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","99698","0.0-9.0-0.8","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","fixation","","","",""
"481.99999999998545","img/image_stim_h_stroop.png","72","image-keyboard-response","26","100188","0.0-9.0-1.8","ujkb78","Thu Feb 11 2021 09:05:02 GMT+0100 (CET)","2021","2","11","9","5","2","BB16","20","female","right","56","43","36","0","13","","","","","test","happy","fear","h","true"
