"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2372","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2380","0.0-0.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","","","","","","",""
"7428","","","survey-text","1","9820","0.0-1.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","{""Q0"":""BB16""}","","","","","","","",""
"4471","","","survey-text","2","14299","0.0-2.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","{""Q0"":""20""}","","","","","","","",""
"4618.000000000004","","","survey-multi-select","3","18922","0.0-3.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6605.999999999996","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","25531","0.0-4.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","50","43","","","","",""
"11438","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","36970","0.0-5.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","50","22","","","","",""
"6761","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","43736","0.0-6.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","50","84","","","","",""
"22109.999999999993","","","survey-multi-select","7","65864","0.0-7.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","{""Sleep"":[""3""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"2466","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","68332","0.0-8.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","70586","0.0-9.0-0.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","","","fixation","","","",""
"580","img/image_stim_f.png","70","image-keyboard-response","10","71173","0.0-9.0-1.0","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","72679","0.0-9.0-0.1","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","","","fixation","","","",""
"448","img/image_stim_f_stroop.png","70","image-keyboard-response","12","73131","0.0-9.0-1.1","y5x9ze","Fri Feb 12 2021 12:20:51 GMT+0100 (CET)","2021","2","12","12","20","51","BB16","20","female","right","43","22","84","3","0","","","","","test","fear","happy","f","true"
