"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"9234.800000011921","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","91","html-keyboard-response","0","9239","0.0-0.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","","","","","","","","",""
"25072.19999998808","","","survey-text","1","34322","0.0-1.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","{""Q0"":""EL00""}","","","","","","","",""
"4553.9000000059605","","","survey-text","2","38880","0.0-2.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","{""Q0"":""21""}","","","","","","","",""
"3369.300000011921","","","survey-multi-select","3","42256","0.0-3.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"12074","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","54334","0.0-4.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","","","50","48","","","","",""
"10048.300000011921","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","64386","0.0-5.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","","","50","59","","","","",""
"5982.299999982119","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","70372","0.0-6.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","","","50","41","","","","",""
"18878.40000000596","","","survey-multi-select","7","89314","0.0-7.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","{""Sleep"":[""11""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"19662.600000023842","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","108980","0.0-8.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","111989","0.0-9.0-0.0","2nkjjp","Mon Feb 07 2022 20:05:58 GMT+0100 (Centraleuropæisk normaltid)","2022","2","7","20","5","58","EL00","21","male","right","48","59","41","11","0","","","","","fixation","","","",""
