"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"14645.475000026636","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","0","14649","0.0-0.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","","","","","","","","",""
"5988.88000001898","","","survey-text","1","20650","0.0-1.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","{""Q0"":""GO23""}","","","","","","","",""
"2981.5250000101514","","","survey-text","2","23634","0.0-2.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","{""Q0"":""19""}","","","","","","","",""
"10274.609999964014","","","survey-multi-select","3","33913","0.0-3.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"8280.710000020918","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","42197","0.0-4.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","","","50","72","","","","",""
"2755.265000043437","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","44953","0.0-5.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","","","50","49","","","","",""
"13430.149999971036","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","58384","0.0-6.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","","","50","36","","","","",""
"27460.584999993443","","","survey-multi-select","7","85858","0.0-7.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","{""Sleep"":[""8""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"13367.035000002943","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","8","99226","0.0-8.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","102232","0.0-9.0-0.0","rmpv31","Mon Feb 08 2021 17:10:10 GMT+0100 (Central European Standard Time)","2021","2","8","17","10","10","GO23","19","male","right","72","49","36","8","1","","","","","fixation","","","",""
