"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"11921","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","11922","0.0-0.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","","","","","","",""
"11661","","","survey-text","1","23607","0.0-1.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","{""Q0"":""ID88""}","","","","","","","",""
"2609","","","survey-text","2","26221","0.0-2.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","{""Q0"":""23""}","","","","","","","",""
"8046","","","survey-multi-select","3","34270","0.0-3.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3217","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","37492","0.0-4.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","50","85","","","","",""
"3846","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","41339","0.0-5.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","50","81","","","","",""
"5827","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","47167","0.0-6.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","50","3","","","","",""
"17010.999999999993","","","survey-multi-select","7","64185","0.0-7.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","{""Sleep"":[""12""],""Eat"":[""10""]}","[0,1]","","","","","","",""
"14626.000000000007","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","78813","0.0-8.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","82318","0.0-9.0-0.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","","","fixation","","","",""
"956.0000000000146","img/image_stim_f_stroop.png","72","image-keyboard-response","10","83283","0.0-9.0-1.0","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","85286","0.0-9.0-0.1","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","","","fixation","","","",""
"1072.9999999999854","img/image_stim_h.png","72","image-keyboard-response","12","86363","0.0-9.0-1.1","8ws817","Mon Feb 07 2022 20:11:27 GMT+0100 (CET)","2022","2","7","20","11","27","ID88","23","female","right","85","81","3","12","10","","","","","test","happy","happy","h","true"
