"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"15753.5","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","15756","0.0-0.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","","","","",""
"12559.299999998882","","","survey-text","1","28321","0.0-1.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","{""Q0"":""JC22""}","","","","","","","",""
"7051.0999999996275","","","survey-text","2","35375","0.0-2.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","{""Q0"":""21""}","","","","","","","",""
"20687.099999999627","","","survey-multi-select","3","56068","0.0-3.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"16305.200000001118","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","72378","0.0-4.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","50","64","","","","",""
"6482.200000001118","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","78862","0.0-5.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","50","13","","","","",""
"5606.39999999851","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","84471","0.0-6.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","50","45","","","","",""
"43286","","","survey-multi-select","7","127826","0.0-7.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","{""Sleep"":[""11""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"52129.59999999963","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","179962","0.0-8.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","182964","0.0-9.0-0.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"1109.9000000003725","img/image_stim_h_stroop.png","72","image-keyboard-response","10","184077","0.0-9.0-1.0","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","184331","0.0-9.0-0.1","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"891.5","img/image_stim_f_stroop.png","70","image-keyboard-response","12","185224","0.0-9.0-1.1","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","185478","0.0-9.0-0.2","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"756.0999999996275","img/image_stim_f.png","70","image-keyboard-response","14","186236","0.0-9.0-1.2","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","186490","0.0-9.0-0.3","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"622.3000000007451","img/image_stim_h.png","72","image-keyboard-response","16","187114","0.0-9.0-1.3","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","187617","0.0-9.0-0.4","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"867.5","img/image_stim_h.png","72","image-keyboard-response","18","188486","0.0-9.0-1.4","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","189491","0.0-9.0-0.5","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"839","img/image_stim_h_stroop.png","72","image-keyboard-response","20","190332","0.0-9.0-1.5","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","191585","0.0-9.0-0.6","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"747.2999999988824","img/image_stim_f.png","70","image-keyboard-response","22","192334","0.0-9.0-1.6","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","193587","0.0-9.0-0.7","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"746.9000000003725","img/image_stim_f_stroop.png","70","image-keyboard-response","24","194336","0.0-9.0-1.7","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","194588","0.0-9.0-0.8","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"691.5","img/image_stim_h_stroop.png","72","image-keyboard-response","26","195281","0.0-9.0-1.8","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","197033","0.0-9.0-0.9","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"766.6999999992549","img/image_stim_f.png","70","image-keyboard-response","28","197801","0.0-9.0-1.9","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","199554","0.0-9.0-0.10","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
"631.3000000007451","img/image_stim_h.png","72","image-keyboard-response","30","200186","0.0-9.0-1.10","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","201939","0.0-9.0-0.11","xdf48e","Wed Feb 09 2022 17:54:13 GMT+0100 (Central European Standard Time)","2022","2","9","17","54","13","JC22","21","female","right","64","13","45","11","4","","","","","fixation","","","",""
