"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"51930.80000000447","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","51936","0.0-0.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","","","","",""
"5248.39999999851","","","survey-text","1","57203","0.0-1.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","{""Q0"":""Kj82""}","","","","","","","",""
"2136.5","","","survey-text","2","59343","0.0-2.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","{""Q0"":""23""}","","","","","","","",""
"4210","","","survey-multi-select","3","63558","0.0-3.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6657.70000000298","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","70220","0.0-4.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","50","24","","","","",""
"5548.5999999940395","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","75773","0.0-5.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","50","33","","","","",""
"4112.5999999940395","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","79890","0.0-6.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","50","32","","","","",""
"53426.30000000447","","","survey-multi-select","7","133376","0.0-7.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","{""Sleep"":[""19""],""Eat"":[""3""]}","[0,1]","","","","","","",""
"25388.39999999851","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","158769","0.0-8.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","162292","0.0-9.0-0.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"582.8000000044703","img/image_stim_h.png","72","image-keyboard-response","10","162890","0.0-9.0-1.0","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","163903","0.0-9.0-0.1","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"387.3999999985099","img/image_stim_h_stroop.png","72","image-keyboard-response","12","164293","0.0-9.0-1.1","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","165553","0.0-9.0-0.2","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"788.2000000029802","img/image_stim_f_stroop.png","70","image-keyboard-response","14","166345","0.0-9.0-1.2","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","166852","0.0-9.0-0.3","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"503.6000000014901","img/image_stim_f.png","70","image-keyboard-response","16","167358","0.0-9.0-1.3","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","167620","0.0-9.0-0.4","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"394.8999999985099","img/image_stim_f.png","70","image-keyboard-response","18","168016","0.0-9.0-1.4","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","169786","0.0-9.0-0.5","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"554.2000000029802","img/image_stim_h.png","72","image-keyboard-response","20","170342","0.0-9.0-1.5","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","170854","0.0-9.0-0.6","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"581.5","img/image_stim_f_stroop.png","70","image-keyboard-response","22","171438","0.0-9.0-1.6","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","173203","0.0-9.0-0.7","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"755.6000000014901","img/image_stim_h_stroop.png","70","image-keyboard-response","24","173961","0.0-9.0-1.7","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","174969","0.0-9.0-0.8","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"957.5","img/image_stim_h.png","72","image-keyboard-response","26","175929","0.0-9.0-1.8","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","177187","0.0-9.0-0.9","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"669.2999999970198","img/image_stim_f_stroop.png","70","image-keyboard-response","28","177859","0.0-9.0-1.9","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","179125","0.0-9.0-0.10","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"980.1000000014901","img/image_stim_h_stroop.png","72","image-keyboard-response","30","180108","0.0-9.0-1.10","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","181870","0.0-9.0-0.11","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"643.6000000014901","img/image_stim_f.png","70","image-keyboard-response","32","182516","0.0-9.0-1.11","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","183776","0.0-9.0-0.12","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"816.5999999940395","img/image_stim_f_stroop.png","70","image-keyboard-response","34","184595","0.0-9.0-1.12","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","186108","0.0-9.0-0.13","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"504.79999999701977","img/image_stim_f.png","70","image-keyboard-response","36","186615","0.0-9.0-1.13","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","187119","0.0-9.0-0.14","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"667.2999999970198","img/image_stim_h.png","72","image-keyboard-response","38","187788","0.0-9.0-1.14","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","188553","0.0-9.0-0.15","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"518.2000000029802","img/image_stim_h_stroop.png","72","image-keyboard-response","40","189073","0.0-9.0-1.15","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","190586","0.0-9.0-0.16","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"539","img/image_stim_f_stroop.png","70","image-keyboard-response","42","191127","0.0-9.0-1.16","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","191386","0.0-9.0-0.17","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"708.7000000029802","img/image_stim_h_stroop.png","72","image-keyboard-response","44","192097","0.0-9.0-1.17","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","193371","0.0-9.0-0.18","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"686.7000000029802","img/image_stim_f.png","70","image-keyboard-response","46","194060","0.0-9.0-1.18","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","194320","0.0-9.0-0.19","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"562.7999999970198","img/image_stim_h.png","72","image-keyboard-response","48","194884","0.0-9.0-1.19","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","196642","0.0-9.0-0.20","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
"641.3999999985099","img/image_stim_h.png","72","image-keyboard-response","50","197289","0.0-9.0-1.20","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","198309","0.0-9.0-0.21","1fst30","Thu Feb 10 2022 22:40:43 GMT+0100 (Central European Standard Time)","2022","2","10","22","40","43","Kj82","23","female","right","24","33","32","19","3","","","","","fixation","","","",""
