"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2027.399999788031","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","0","2032","0.0-0.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","","","","","","","","",""
"3975.4200000315905","","","survey-text","1","6017","0.0-1.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","{""Q0"":""LA80""}","","","","","","","",""
"2709.650000091642","","","survey-text","2","8734","0.0-2.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","{""Q0"":""40""}","","","","","","","",""
"4560.005000093952","","","survey-multi-select","3","13299","0.0-3.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6150.889999931678","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","19452","0.0-4.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","","","50","53","","","","",""
"6621.349999913946","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","26075","0.0-5.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","","","50","69","","","","",""
"6611.6750000510365","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","32688","0.0-6.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","","","50","83","","","","",""
"21221.80000017397","","","survey-multi-select","7","53919","0.0-7.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","{""Sleep"":[""3""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"3415.529999881983","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","57336","0.0-8.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","61102","0.0-9.0-0.0","en1qqx","Mon Feb 08 2021 09:37:43 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","37","43","LA80","40","female","right","53","69","83","3","2","","","","","fixation","","","",""
