"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1433.9450001716614","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1436","0.0-0.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","","","","",""
"7446.7949999962","","","survey-text","1","8887","0.0-1.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","{""Q0"":""LA80""}","","","","","","","",""
"3210.7349999714643","","","survey-text","2","12102","0.0-2.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","{""Q0"":""40""}","","","","","","","",""
"4858.815000159666","","","survey-multi-select","3","16964","0.0-3.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3060.744999907911","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","20027","0.0-4.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","50","45","","","","",""
"2866.069999989122","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","22894","0.0-5.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","50","12","","","","",""
"5148.7900000065565","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","28044","0.0-6.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","50","100","","","","",""
"13909.495000028983","","","survey-multi-select","7","41972","0.0-7.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","{""Sleep"":[""15""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"1640.2600000146776","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","43614","0.0-8.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","47120","0.0-9.0-0.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"4032.385000027716","img/image_stim_f.png","32","image-keyboard-response","10","51154","0.0-9.0-1.0","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","52162","0.0-9.0-0.1","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","12","57168","0.0-9.0-1.1","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","58177","0.0-9.0-0.2","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"null","img/image_stim_h.png","null","image-keyboard-response","14","63184","0.0-9.0-1.2","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","64193","0.0-9.0-0.3","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","16","69195","0.0-9.0-1.3","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","70704","0.0-9.0-0.4","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"1005.7600000873208","img/image_stim_h_stroop.png","72","image-keyboard-response","18","71711","0.0-9.0-1.4","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","73471","0.0-9.0-0.5","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"501.2300000526011","img/image_stim_h.png","72","image-keyboard-response","20","73974","0.0-9.0-1.5","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","75483","0.0-9.0-0.6","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"576.7349998932332","img/image_stim_f_stroop.png","70","image-keyboard-response","22","76061","0.0-9.0-1.6","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","78074","0.0-9.0-0.7","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"490.39500020444393","img/image_stim_f.png","70","image-keyboard-response","24","78565","0.0-9.0-1.7","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","80320","0.0-9.0-0.8","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"451.7449999693781","img/image_stim_h.png","72","image-keyboard-response","26","80774","0.0-9.0-1.8","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","82782","0.0-9.0-0.9","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"493.9200000371784","img/image_stim_h_stroop.png","72","image-keyboard-response","28","83277","0.0-9.0-1.9","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","85036","0.0-9.0-0.10","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"549.5050000026822","img/image_stim_f_stroop.png","70","image-keyboard-response","30","85587","0.0-9.0-1.10","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","87344","0.0-9.0-0.11","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"1114.534999942407","img/image_stim_f.png","70","image-keyboard-response","32","88461","0.0-9.0-1.11","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","89221","0.0-9.0-0.12","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"617.3249999992549","img/image_stim_h.png","72","image-keyboard-response","34","89840","0.0-9.0-1.12","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","91100","0.0-9.0-0.13","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
"602.4750000797212","img/image_stim_f.png","70","image-keyboard-response","36","91704","0.0-9.0-1.13","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","92208","0.0-9.0-0.14","jn20zz","Sun Feb 07 2021 22:08:00 GMT+0100 (Centraleuropæisk normaltid)","2021","2","7","22","8","0","LA80","40","female","right","45","12","100","15","0","","","","","fixation","","","",""
