"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2302.6299998164177","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","13","html-keyboard-response","0","2303","0.0-0.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","","","","",""
"3723.3450000640005","","","survey-text","1","6031","0.0-1.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","{""Q0"":""LA80""}","","","","","","","",""
"3641.360000008717","","","survey-text","2","9677","0.0-2.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","{""Q0"":""40""}","","","","","","","",""
"6914.029999868944","","","survey-multi-select","3","16597","0.0-3.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5914.130000164732","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","22513","0.0-4.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","50","58","","","","",""
"7058.870000066236","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","29573","0.0-5.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","50","73","","","","",""
"4774.22000002116","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","34349","0.0-6.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","50","85","","","","",""
"7038.869999814779","","","survey-multi-select","7","41428","0.0-7.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","{""Sleep"":[""3""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"1721.919999923557","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","43152","0.0-8.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","45661","0.0-9.0-0.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","10","50668","0.0-9.0-1.0","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","51180","0.0-9.0-0.1","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","12","56189","0.0-9.0-1.1","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","56447","0.0-9.0-0.2","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"null","img/image_stim_h.png","null","image-keyboard-response","14","61454","0.0-9.0-1.2","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","62214","0.0-9.0-0.3","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","16","67225","0.0-9.0-1.3","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","67982","0.0-9.0-0.4","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"974.3200000375509","img/image_stim_f_stroop.png","70","image-keyboard-response","18","68960","0.0-9.0-1.4","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","69720","0.0-9.0-0.5","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"700.5350000690669","img/image_stim_h_stroop.png","72","image-keyboard-response","20","70424","0.0-9.0-1.5","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","72434","0.0-9.0-0.6","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"582.4300001841038","img/image_stim_f.png","70","image-keyboard-response","22","73020","0.0-9.0-1.6","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","73530","0.0-9.0-0.7","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
"569.480000063777","img/image_stim_h.png","72","image-keyboard-response","24","74102","0.0-9.0-1.7","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","75120","0.0-9.0-0.8","w903t4","Mon Feb 08 2021 09:40:37 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","40","37","LA80","40","female","right","58","73","85","3","2","","","","","fixation","","","",""
