"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"23573.90000000596","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","23576","0.0-0.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","","","","","","","","",""
"8103.5999999940395","","","survey-text","1","31683","0.0-1.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","{""Q0"":""NA20""}","","","","","","","",""
"5263.0999999940395","","","survey-text","2","36949","0.0-2.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","{""Q0"":""21""}","","","","","","","",""
"5916.4000000059605","","","survey-multi-select","3","42868","0.0-3.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"8995.800000011921","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","51866","0.0-4.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","","","50","93","","","","",""
"6638","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","58505","0.0-5.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","","","50","41","","","","",""
"7559.299999982119","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","66066","0.0-6.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","","","50","94","","","","",""
"32373.09999999404","","","survey-multi-select","7","98488","0.0-7.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","{""Sleep"":[""14""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"33281.69999998808","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","131771","0.0-8.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","135031","0.0-9.0-0.0","kmyfsc","Wed Feb 09 2022 21:09:19 GMT+0100 (Central European Standard Time)","2022","2","9","21","9","19","NA20","21","female","right","93","41","94","14","0","","","","","fixation","","","",""
