"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"673979","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","674025","0.0-0.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","","","","",""
"30873","","","survey-text","1","704918","0.0-1.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","{""Q0"":""NK95""}","","","","","","","",""
"4231","","","survey-text","2","709154","0.0-2.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","{""Q0"":""25""}","","","","","","","",""
"9308","","","survey-multi-select","3","718464","0.0-3.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"14865","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","733330","0.0-4.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","50","57","","","","",""
"7930.000000000116","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","741261","0.0-5.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","50","40","","","","",""
"8332","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","749593","0.0-6.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","50","100","","","","",""
"27519","","","survey-multi-select","7","777122","0.0-7.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","{""Sleep"":[""8""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"65204.00000000012","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","842327","0.0-8.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","845831","0.0-9.0-0.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","fixation","","","",""
"1949","img/image_stim_h_stroop.png","72","image-keyboard-response","10","847790","0.0-9.0-1.0","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","848544","0.0-9.0-0.1","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","fixation","","","",""
"673","img/image_stim_f.png","70","image-keyboard-response","12","849218","0.0-9.0-1.1","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","849472","0.0-9.0-0.2","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","fixation","","","",""
"760","img/image_stim_h.png","72","image-keyboard-response","14","850233","0.0-9.0-1.2","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","851735","0.0-9.0-0.3","ukxuuy","Tue Feb 09 2021 17:03:21 GMT+0200 (EET)","2021","2","9","17","3","21","NK95","25","female","left","57","40","100","8","0","","","","","fixation","","","",""
