"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"5153","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","5156","0.0-0.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","","","","",""
"3169.7000000476837","","","survey-text","1","8338","0.0-1.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","{""Q0"":""RS22""}","","","","","","","",""
"1938.4000000357628","","","survey-text","2","10280","0.0-2.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","{""Q0"":""21""}","","","","","","","",""
"2134.599999964237","","","survey-multi-select","3","12420","0.0-3.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2917.599999964237","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","15340","0.0-4.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","50","66","","","","",""
"3399.5","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","18740","0.0-5.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","50","50","","","","",""
"5268.599999964237","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","24010","0.0-6.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","50","100","","","","",""
"4347.300000011921","","","survey-multi-select","7","28391","0.0-7.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","{""Sleep"":[""1""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"4803.600000023842","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","33197","0.0-8.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","36952","0.0-9.0-0.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"489.10000002384186","img/image_stim_h.png","72","image-keyboard-response","10","37446","0.0-9.0-1.0","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","37949","0.0-9.0-0.1","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"505.80000001192093","img/image_stim_f_stroop.png","70","image-keyboard-response","12","38457","0.0-9.0-1.1","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","39462","0.0-9.0-0.2","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"684.1000000238419","img/image_stim_f.png","70","image-keyboard-response","14","40149","0.0-9.0-1.2","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","41904","0.0-9.0-0.3","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"472.0999999642372","img/image_stim_h_stroop.png","72","image-keyboard-response","16","42378","0.0-9.0-1.3","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","44147","0.0-9.0-0.4","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"586.1000000238419","img/image_stim_f_stroop.png","70","image-keyboard-response","18","44736","0.0-9.0-1.4","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","45992","0.0-9.0-0.5","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"495.10000002384186","img/image_stim_f.png","70","image-keyboard-response","20","46489","0.0-9.0-1.5","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","46996","0.0-9.0-0.6","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"541.6000000238419","img/image_stim_h_stroop.png","72","image-keyboard-response","22","47539","0.0-9.0-1.6","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","48545","0.0-9.0-0.7","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"417.80000001192093","img/image_stim_h.png","72","image-keyboard-response","24","48965","0.0-9.0-1.7","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","50720","0.0-9.0-0.8","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"473.30000001192093","img/image_stim_f_stroop.png","70","image-keyboard-response","26","51195","0.0-9.0-1.8","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","52951","0.0-9.0-0.9","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"554.3000000119209","img/image_stim_f.png","70","image-keyboard-response","28","53507","0.0-9.0-1.9","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","54761","0.0-9.0-0.10","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"461","img/image_stim_h.png","72","image-keyboard-response","30","55224","0.0-9.0-1.10","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","56232","0.0-9.0-0.11","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"593.7000000476837","img/image_stim_h_stroop.png","72","image-keyboard-response","32","56828","0.0-9.0-1.11","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","58083","0.0-9.0-0.12","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"540.7000000476837","img/image_stim_h_stroop.png","72","image-keyboard-response","34","58626","0.0-9.0-1.12","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","58881","0.0-9.0-0.13","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"477.7000000476837","img/image_stim_f.png","70","image-keyboard-response","36","59360","0.0-9.0-1.13","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","60366","0.0-9.0-0.14","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
"618.8999999761581","img/image_stim_f_stroop.png","70","image-keyboard-response","38","60987","0.0-9.0-1.14","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","61993","0.0-9.0-0.15","6dm1b6","Wed Feb 09 2022 09:03:45 GMT+0100 (Central European Standard Time)","2022","2","9","9","3","45","RS22","21","female","right","66","50","100","1","0","","","","","fixation","","","",""
