"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1561.9000000357628","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1564","0.0-0.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","","","","",""
"3035.399999976158","","","survey-text","1","4604","0.0-1.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","{""Q0"":""RS22""}","","","","","","","",""
"2780.5","","","survey-text","2","7388","0.0-2.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","{""Q0"":""21""}","","","","","","","",""
"5200.199999988079","","","survey-multi-select","3","12592","0.0-3.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4518.199999988079","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","17114","0.0-4.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","50","68","","","","",""
"4673.899999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","21790","0.0-5.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","50","24","","","","",""
"2575.600000023842","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","24370","0.0-6.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","50","24","","","","",""
"9833.100000023842","","","survey-multi-select","7","34236","0.0-7.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","{""Sleep"":[""0""],""Eat"":[""11""]}","[0,1]","","","","","","",""
"5334.099999964237","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","39573","0.0-8.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","42331","0.0-9.0-0.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","fixation","","","",""
"876.3999999761581","img/image_stim_f.png","70","image-keyboard-response","10","43229","0.0-9.0-1.0","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","44235","0.0-9.0-0.1","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","fixation","","","",""
"514.3000000119209","img/image_stim_h_stroop.png","70","image-keyboard-response","12","44751","0.0-9.0-1.1","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","45007","0.0-9.0-0.2","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","fixation","","","",""
"947.1000000238419","img/image_stim_f_stroop.png","70","image-keyboard-response","14","45957","0.0-9.0-1.2","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","47212","0.0-9.0-0.3","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","fixation","","","",""
"613.9000000357628","img/image_stim_h.png","72","image-keyboard-response","16","47828","0.0-9.0-1.3","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","49082","0.0-9.0-0.4","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","fixation","","","",""
"560.5","img/image_stim_h_stroop.png","72","image-keyboard-response","18","49646","0.0-9.0-1.4","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","50651","0.0-9.0-0.5","86jkgv","Wed Feb 09 2022 07:50:08 GMT+0100 (Central European Standard Time)","2022","2","9","7","50","8","RS22","21","female","right","68","24","24","0","11","","","","","fixation","","","",""
