"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2296.60000000149","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2302","0.0-0.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","","","","",""
"6700.099999997765","","","survey-text","1","9007","0.0-1.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","{""Q0"":""SZ09""}","","","","","","","",""
"2725.300000000745","","","survey-text","2","11736","0.0-2.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","{""Q0"":""21""}","","","","","","","",""
"3389.800000000745","","","survey-multi-select","3","15131","0.0-3.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5240.800000000745","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","20378","0.0-4.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","50","50","","","","",""
"5011.79999999702","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","25391","0.0-5.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","50","49","","","","",""
"5171.099999997765","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","30564","0.0-6.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","50","35","","","","",""
"47115.800000000745","","","survey-multi-select","7","77748","0.0-7.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","{""Sleep"":[""0""],""Eat"":[""14""]}","[0,1]","","","","","","",""
"6887.29999999702","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","84639","0.0-8.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","87647","0.0-9.0-0.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","fixation","","","",""
"1494","img/image_stim_h_stroop.png","72","image-keyboard-response","10","89144","0.0-9.0-1.0","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","90648","0.0-9.0-0.1","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","fixation","","","",""
"905.2999999970198","img/image_stim_f_stroop.png","70","image-keyboard-response","12","91555","0.0-9.0-1.1","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","93057","0.0-9.0-0.2","3acxx3","Thu Feb 10 2022 09:49:39 GMT+0100 (Central European Standard Time)","2022","2","10","9","49","39","SZ09","21","female","right","50","49","35","0","14","","","","","fixation","","","",""
