"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1373.5","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","93","html-keyboard-response","0","1384","0.0-0.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","","","","",""
"15542727.299999982","","","survey-text","1","21225871","0.0-1.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","{""Q0"":""SZ09""}","","","","","","","",""
"2151.699999988079","","","survey-text","2","21228029","0.0-2.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","{""Q0"":""20""}","","","","","","","",""
"6218.700000017881","","","survey-multi-select","3","21234254","0.0-3.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"5550.5999999940395","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","21239811","0.0-4.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","50","52","","","","",""
"4484.600000023842","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","21244297","0.0-5.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","50","24","","","","",""
"6705.5999999940395","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","21251005","0.0-6.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","50","50","","","","",""
"22432.20000001788","","","survey-multi-select","7","21273468","0.0-7.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","{""Sleep"":[""8""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"25746.5","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","21299221","0.0-8.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","21303223","0.0-9.0-0.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","10","21308227","0.0-9.0-1.0","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","21308731","0.0-9.0-0.1","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","12","21313734","0.0-9.0-1.1","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","21314990","0.0-9.0-0.2","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","14","21319992","0.0-9.0-1.2","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","21320996","0.0-9.0-0.3","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","fixation","","","",""
"405.30000001192093","img/image_stim_h.png","72","image-keyboard-response","16","21321403","0.0-9.0-1.3","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","21323159","0.0-9.0-0.4","pm0b9s","Tue Feb 08 2022 10:12:40 GMT+0100 (Central European Standard Time)","2022","2","8","10","12","40","SZ09","20","female","right","52","24","50","8","2","","","","","fixation","","","",""
