"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"6154","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","6155","0.0-0.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","","","","",""
"7518","","","survey-text","1","13717","0.0-1.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","{""Q0"":""UR13""}","","","","","","","",""
"2895","","","survey-text","2","16620","0.0-2.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","{""Q0"":""23""}","","","","","","","",""
"4225","","","survey-multi-select","3","20853","0.0-3.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2649","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23544","0.0-4.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","50","50","","","","",""
"4335","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","27883","0.0-5.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","50","32","","","","",""
"6637","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","34523","0.0-6.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","50","13","","","","",""
"36275","","","survey-multi-select","7","70821","0.0-7.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","{""Sleep"":[""0""],""Eat"":[""11""]}","[0,1]","","","","","","",""
"21456","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","37","html-keyboard-response","8","92280","0.0-8.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","96077","0.0-9.0-0.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","fixation","","","",""
"651","img/image_stim_h.png","72","image-keyboard-response","10","96734","0.0-9.0-1.0","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","98754","0.0-9.0-0.1","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","fixation","","","",""
"363","img/image_stim_f.png","70","image-keyboard-response","12","99120","0.0-9.0-1.1","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","99375","0.0-9.0-0.2","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","fixation","","","",""
"924","img/image_stim_h_stroop.png","70","image-keyboard-response","14","100303","0.0-9.0-1.2","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","101573","0.0-9.0-0.3","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","fixation","","","",""
"879","img/image_stim_f_stroop.png","70","image-keyboard-response","16","102455","0.0-9.0-1.3","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","104470","0.0-9.0-0.4","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","fixation","","","",""
"818","img/image_stim_f.png","70","image-keyboard-response","18","105290","0.0-9.0-1.4","8kpged","Thu Feb 10 2022 07:43:14 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","7","43","14","UR13","23","female","right","50","32","13","0","11","","","","","test","fear","fear","f","true"
