"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1629","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1631","0.0-0.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","","","","",""
"4636","","","survey-text","1","6272","0.0-1.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","{""Q0"":""UR13""}","","","","","","","",""
"2646","","","survey-text","2","8925","0.0-2.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","{""Q0"":""23""}","","","","","","","",""
"2955","","","survey-multi-select","3","11925","0.0-3.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"11841","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23772","0.0-4.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","50","50","","","","",""
"3900","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","27675","0.0-5.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","50","61","","","","",""
"3363","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","31042","0.0-6.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","50","88","","","","",""
"16612","","","survey-multi-select","7","47677","0.0-7.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","{""Sleep"":[""2""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"3328","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","51008","0.0-8.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","53781","0.0-9.0-0.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","fixation","","","",""
"681","img/image_stim_f_stroop.png","70","image-keyboard-response","10","54467","0.0-9.0-1.0","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","56479","0.0-9.0-0.1","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","fixation","","","",""
"441","img/image_stim_h_stroop.png","72","image-keyboard-response","12","56924","0.0-9.0-1.1","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","58441","0.0-9.0-0.2","ou490o","Thu Feb 10 2022 08:44:45 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","10","8","44","45","UR13","23","female","right","50","61","88","2","0","","","","","fixation","","","",""
