"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"11681","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","11684","0.0-0.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","","","","","","","","",""
"29990","","","survey-text","1","41719","0.0-1.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","{""Q0"":""UR13""}","","","","","","","",""
"2086","","","survey-text","2","43811","0.0-2.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","{""Q0"":""23""}","","","","","","","",""
"4250","","","survey-multi-select","3","48067","0.0-3.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3547","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","51695","0.0-4.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","","","50","31","","","","",""
"4637","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","56335","0.0-5.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","","","50","40","","","","",""
"3094","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","59434","0.0-6.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","","","50","42","","","","",""
"31940","","","survey-multi-select","7","91406","0.0-7.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","{""Sleep"":[""6""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"23478","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","114889","0.0-8.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","117660","0.0-9.0-0.0","zfgrrg","Wed Feb 09 2022 12:53:38 GMT+0100 (Mitteleuropäische Normalzeit)","2022","2","9","12","53","38","UR13","23","female","right","31","40","42","6","4","","","","","fixation","","","",""
