"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1559","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1562","0.0-0.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","","","","",""
"11375","","","survey-text","1","12961","0.0-1.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","{""Q0"":""VT24""}","","","","","","","",""
"3040","","","survey-text","2","16006","0.0-2.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","{""Q0"":""22""}","","","","","","","",""
"5782","","","survey-multi-select","3","21793","0.0-3.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4699","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","26495","0.0-4.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","50","55","","","","",""
"5018.000000000004","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","31514","0.0-5.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","50","18","","","","",""
"5035","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","36550","0.0-6.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","50","38","","","","",""
"24227","","","survey-multi-select","7","60791","0.0-7.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","{""Sleep"":[""1""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"51228","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","112022","0.0-8.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","114775","0.0-9.0-0.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"2049.9999999999854","img/image_stim_f_stroop.png","70","image-keyboard-response","10","116830","0.0-9.0-1.0","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","118586","0.0-9.0-0.1","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"1432.0000000000146","img/image_stim_f.png","70","image-keyboard-response","12","120021","0.0-9.0-1.1","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","122025","0.0-9.0-0.2","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"508.00000000001455","img/image_stim_h.png","72","image-keyboard-response","14","122536","0.0-9.0-1.2","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","123289","0.0-9.0-0.3","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"503","img/image_stim_h_stroop.png","72","image-keyboard-response","16","123795","0.0-9.0-1.3","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","124549","0.0-9.0-0.4","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"604","img/image_stim_f_stroop.png","70","image-keyboard-response","18","125157","0.0-9.0-1.4","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","127160","0.0-9.0-0.5","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"1129","img/image_stim_h.png","72","image-keyboard-response","20","128292","0.0-9.0-1.5","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","128796","0.0-9.0-0.6","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
"1480","img/image_stim_h_stroop.png","72","image-keyboard-response","22","130279","0.0-9.0-1.6","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","131783","0.0-9.0-0.7","63dxle","Tue Feb 16 2021 09:23:14 GMT+0100 (CET)","2021","2","16","9","23","14","VT24","22","female","right","55","18","38","1","0","","","","","fixation","","","",""
