"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","image","condition"
"929","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","934","0.0-0.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"1060","","","survey-text","1","1999","0.0-1.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","{""Q0"":""""}","","","","",""
"189","","","survey-text","2","2191","0.0-2.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","{""Q0"":""""}","","","","",""
"2664","","","survey-multi-select","3","4863","0.0-3.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","",""
"537","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","5402","0.0-4.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","50","50","",""
"359","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","5763","0.0-5.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","50","50","",""
"310","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","6075","0.0-6.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","50","50","",""
"2402","","","survey-multi-select","7","8499","0.0-7.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","{""Sleep"":[""7""],""Eat"":[""9""]}","[0,1]","","","",""
"919","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","9421","0.0-8.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","12682","0.0-9.0-0.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"476","img/image_stim_f.png","70","image-keyboard-response","10","13165","0.0-9.0-1.0","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_f.png","congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","14422","0.0-9.0-0.1","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"467","img/image_stim_h.png","72","image-keyboard-response","12","14890","0.0-9.0-1.1","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_h.png","congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","15648","0.0-9.0-0.2","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"538","img/image_stim_f_stroop.png","70","image-keyboard-response","14","16188","0.0-9.0-1.2","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_f_stroop.png","incongruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","17447","0.0-9.0-0.3","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"1036","img/image_stim_h_stroop.png","72","image-keyboard-response","16","18485","0.0-9.0-1.3","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_h_stroop.png","incongruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","19989","0.0-9.0-0.4","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"1588","img/image_stim_h.png","72","image-keyboard-response","18","21583","0.0-9.0-1.4","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_h.png","congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","23335","0.0-9.0-0.5","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","",""
"344","img/image_stim_f_stroop.png","72","image-keyboard-response","20","23687","0.0-9.0-1.5","g3ntbk","Mon Feb 08 2021 11:37:21 GMT+0100 (Central European Standard Time)","2021","2","8","11","37","21","","","male","right","50","50","50","7","9","","","","","img/image_stim_f_stroop.png","incongruent"
