"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1072","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1073","0.0-0.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","","","","",""
"1632","","","survey-text","1","2711","0.0-1.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","{""Q0"":""""}","","","","","","","",""
"433","","","survey-text","2","3149","0.0-2.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","{""Q0"":""""}","","","","","","","",""
"2681","","","survey-multi-select","3","5836","0.0-3.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"430","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","6271","0.0-4.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","50","50","","","","",""
"292","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","6566","0.0-5.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","50","50","","","","",""
"179","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","6749","0.0-6.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","50","50","","","","",""
"2510","","","survey-multi-select","7","9272","0.0-7.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","{""Sleep"":[""11""],""Eat"":[""9""]}","[0,1]","","","","","","",""
"974","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","10249","0.0-8.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","14254","0.0-9.0-0.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","fixation","","","",""
"382","img/image_stim_f.png","70","image-keyboard-response","10","14641","0.0-9.0-1.0","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","15646","0.0-9.0-0.1","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","fixation","","","",""
"346","img/image_stim_f_stroop.png","72","image-keyboard-response","12","15997","0.0-9.0-1.1","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","16252","0.0-9.0-0.2","or3jk6","Mon Feb 08 2021 11:41:38 GMT+0100 (Central European Standard Time)","2021","2","8","11","41","38","","","female","right","50","50","50","11","9","","","","","fixation","","","",""
