"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1231","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1237","0.0-0.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","","","","",""
"1435","","","survey-text","1","2729","0.0-1.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","{""Q0"":""""}","","","","","","","",""
"712","","","survey-text","2","3446","0.0-2.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","{""Q0"":""s""}","","","","","","","",""
"4317","","","survey-multi-select","3","7766","0.0-3.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","{""Gender"":[""other""],""Hand"":[""No difference""]}","[0,1]","","","","","","",""
"827","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","8596","0.0-4.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","50","50","","","","",""
"406","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","9003","0.0-5.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","50","50","","","","",""
"462","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","9466","0.0-6.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","50","50","","","","",""
"9113.999999999998","","","survey-multi-select","7","18592","0.0-7.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","{""Sleep"":[""24""],""Eat"":[""8""]}","[0,1]","","","","","","",""
"1609","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","20212","0.0-8.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","22715","0.0-9.0-0.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","fixation","","","",""
"784","img/image_stim_h_stroop.png","72","image-keyboard-response","10","23512","0.0-9.0-1.0","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","25520","0.0-9.0-0.1","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","fixation","","","",""
"390.00000000000364","img/image_stim_h.png","72","image-keyboard-response","12","25911","0.0-9.0-1.1","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","27419","0.0-9.0-0.2","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","fixation","","","",""
"411","img/image_stim_f_stroop.png","72","image-keyboard-response","14","27831","0.0-9.0-1.2","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","29085","0.0-9.0-0.3","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","fixation","","","",""
"473","img/image_stim_f.png","72","image-keyboard-response","16","29560","0.0-9.0-1.3","pn16t2","Mon Feb 08 2021 10:49:17 GMT+0100 (CET)","2021","2","8","10","49","17","","s","other","No difference","50","50","50","24","8","","","","","test","fear","fear","f","false"
