"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response"
"977","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","980","0.0-0.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"1351","","","survey-text","1","2341","0.0-1.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","{""Q0"":""""}","","",""
"394","","","survey-text","2","2739","0.0-2.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","{""Q0"":""""}","","",""
"3407","","","survey-multi-select","3","6150","0.0-3.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","{""Gender"":[""other""],""Hand"":[""No difference""]}","[0,1]","",""
"1201","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","7353","0.0-4.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","50","50"
"199","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","7554","0.0-5.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","50","50"
"309","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","7867","0.0-6.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","50","50"
"2187","","","survey-multi-select","7","10073","0.0-7.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","{""Sleep"":[""9""],""Eat"":[""9""]}","[0,1]","",""
"1220","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","11295","0.0-8.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","14801","0.0-9.0-0.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"840","img/image_stim_h_stroop.png","70","image-keyboard-response","10","15652","0.0-9.0-1.0","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","17657","0.0-9.0-0.1","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"135","img/image_stim_h.png","72","image-keyboard-response","12","17795","0.0-9.0-1.1","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","18301","0.0-9.0-0.2","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"693","img/image_stim_h_stroop.png","70","image-keyboard-response","14","19003","0.0-9.0-1.2","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","21010","0.0-9.0-0.3","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
"346","img/image_stim_h_stroop.png","72","image-keyboard-response","16","21359","0.0-9.0-1.3","queb0k","Mon Feb 08 2021 11:20:34 GMT+0100 (Central European Standard Time)","2021","2","8","11","20","34","","","other","No difference","50","50","50","9","9","","","",""
