"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"99288.96000000532","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","99287","0.0-0.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","","","","","","","","",""
"7535.539999982575","","","survey-text","1","106827","0.0-1.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","{""Q0"":""au20""}","","","","","","","",""
"8817.210000008345","","","survey-text","2","115647","0.0-2.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","{""Q0"":""20""}","","","","","","","",""
"9409.334999974817","","","survey-multi-select","3","125059","0.0-3.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"10079.125000018394","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","135140","0.0-4.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","","","50","100","","","","",""
"4651.245000015479","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","139793","0.0-5.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","","","50","23","","","","",""
"2956.915000017034","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","142752","0.0-6.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","","","50","50","","","","",""
"14494.879999983823","","","survey-multi-select","7","157262","0.0-7.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","{""Sleep"":[""0""],""Eat"":[""11""]}","[0,1]","","","","","","",""
"19762.874999985797","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","8","177027","0.0-8.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","180038","0.0-9.0-0.0","rzh8uy","Tue Feb 09 2021 11:12:50 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","12","50","au20","20","male","right","100","23","50","0","11","","","","","fixation","","","",""
