"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1352","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1355","0.0-0.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","","","","",""
"6608","","","survey-text","1","7968","0.0-1.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","{""Q0"":""bc23""}","","","","","","","",""
"11562","","","survey-text","2","19533","0.0-2.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","{""Q0"":""23""}","","","","","","","",""
"4730","","","survey-multi-select","3","24267","0.0-3.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"8161","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","32432","0.0-4.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","50","88","","","","",""
"7704","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","40138","0.0-5.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","50","73","","","","",""
"6377","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","46517","0.0-6.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","50","71","","","","",""
"58984","","","survey-multi-select","7","105517","0.0-7.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","{""Sleep"":[""3""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"11866","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","117385","0.0-8.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","120393","0.0-9.0-0.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"1312","img/image_stim_h_stroop.png","72","image-keyboard-response","10","121711","0.0-9.0-1.0","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","123467","0.0-9.0-0.1","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"823","img/image_stim_f.png","70","image-keyboard-response","12","124294","0.0-9.0-1.1","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","125052","0.0-9.0-0.2","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"713","img/image_stim_f_stroop.png","70","image-keyboard-response","14","125769","0.0-9.0-1.2","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","127525","0.0-9.0-0.3","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"647","img/image_stim_h.png","72","image-keyboard-response","16","128174","0.0-9.0-1.3","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","128427","0.0-9.0-0.4","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"699","img/image_stim_h.png","72","image-keyboard-response","18","129129","0.0-9.0-1.4","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","129385","0.0-9.0-0.5","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"629","img/image_stim_f_stroop.png","70","image-keyboard-response","20","130015","0.0-9.0-1.5","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","131269","0.0-9.0-0.6","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"561","img/image_stim_h_stroop.png","72","image-keyboard-response","22","131830","0.0-9.0-1.6","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","133336","0.0-9.0-0.7","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"709","img/image_stim_f.png","70","image-keyboard-response","24","134046","0.0-9.0-1.7","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","135298","0.0-9.0-0.8","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"842","img/image_stim_h_stroop.png","72","image-keyboard-response","26","136142","0.0-9.0-1.8","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","137898","0.0-9.0-0.9","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"578","img/image_stim_f.png","70","image-keyboard-response","28","138477","0.0-9.0-1.9","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","139735","0.0-9.0-0.10","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"589","img/image_stim_h.png","72","image-keyboard-response","30","140327","0.0-9.0-1.10","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","141331","0.0-9.0-0.11","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","fixation","","","",""
"729","img/image_stim_f_stroop.png","70","image-keyboard-response","32","142062","0.0-9.0-1.11","u7bmor","Mon Feb 08 2021 22:15:33 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","22","15","33","bc23","23","female","right","88","73","71","3","6","","","","","test","fear","happy","f","true"
