"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1696.9749999698251","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1700","0.0-0.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","","","","","","","","",""
"7959.035000065342","","","survey-text","1","9664","0.0-1.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","{""Q0"":""bj04""}","","","","","","","",""
"2900.8649999741465","","","survey-text","2","12567","0.0-2.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","{""Q0"":""22""}","","","","","","","",""
"6178.200000198558","","","survey-multi-select","3","18750","0.0-3.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7931.510000023991","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","26685","0.0-4.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","","","50","60","","","","",""
"8174.385000020266","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","34861","0.0-5.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","","","50","64","","","","",""
"16793.259999947622","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","51655","0.0-6.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","","","50","18","","","","",""
"22378.19500011392","","","survey-multi-select","7","74070","0.0-7.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","{""Sleep"":[""0""],""Eat"":[""14""]}","[0,1]","","","","","","",""
"12981.069999979809","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","87053","0.0-8.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","90571","0.0-9.0-0.0","fznct3","Mon Feb 08 2021 09:15:31 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","9","15","31","bj04","22","female","right","60","64","18","0","14","","","","","fixation","","","",""
