"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"729.1649999679066","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","731","0.0-0.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","","","","","","","","",""
"2968.9549999893643","","","survey-text","1","3705","0.0-1.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","{""Q0"":""br00""}","","","","","","","",""
"1462.375000002794","","","survey-text","2","5171","0.0-2.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","{""Q0"":""21""}","","","","","","","",""
"3616.24500004109","","","survey-multi-select","3","8794","0.0-3.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3553.2949999906123","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","12349","0.0-4.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","","","50","91","","","","",""
"7071.539999975357","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","19421","0.0-5.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","","","50","28","","","","",""
"6497.21000000136","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25919","0.0-6.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","","","50","57","","","","",""
"75665.83499999251","","","survey-multi-select","7","101599","0.0-7.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","{""Sleep"":[""15""],""Eat"":[""7""]}","[0,1]","","","","","","",""
"2683.1650000531226","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","104284","0.0-8.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","107043","0.0-9.0-0.0","2jq0jw","Fri Feb 12 2021 02:13:25 GMT+0100 (Centraleuropæisk normaltid)","2021","2","12","2","13","25","br00","21","female","right","91","28","57","15","7","","","","","fixation","","","",""
