"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"6253016.919999994","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","8954420","0.0-0.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","","","","",""
"2856.874999997206","","","survey-text","1","8957285","0.0-1.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","{""Q0"":""br00""}","","","","","","","",""
"1497.7500000093132","","","survey-text","2","8958787","0.0-2.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","{""Q0"":""21""}","","","","","","","",""
"2881.584999995306","","","survey-multi-select","3","8961675","0.0-3.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2889.3749999990687","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","8964568","0.0-4.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","50","84","","","","",""
"3362.249999976717","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","8967932","0.0-5.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","50","79","","","","",""
"4502.459999987856","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","8972436","0.0-6.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","50","39","","","","",""
"25807.329999981448","","","survey-multi-select","7","8998261","0.0-7.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","{""Sleep"":[""4""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"1359.6249999823049","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","8999624","0.0-8.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","9002634","0.0-9.0-0.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","fixation","","","",""
"916.7500000037253","img/image_stim_f_stroop.png","70","image-keyboard-response","10","9003555","0.0-9.0-1.0","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","9004311","0.0-9.0-0.1","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","fixation","","","",""
"608.1650000121444","img/image_stim_h.png","72","image-keyboard-response","12","9004922","0.0-9.0-1.1","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","9005679","0.0-9.0-0.2","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","fixation","","","",""
"461.08500001672655","img/image_stim_f.png","70","image-keyboard-response","14","9006145","0.0-9.0-1.2","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","9008153","0.0-9.0-0.3","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","fixation","","","",""
"476.6700000036508","img/image_stim_h_stroop.png","72","image-keyboard-response","16","9008633","0.0-9.0-1.3","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","9009138","0.0-9.0-0.4","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","fixation","","","",""
"589.3349999971688","img/image_stim_f.png","70","image-keyboard-response","18","9009731","0.0-9.0-1.4","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","9010235","0.0-9.0-0.5","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","fixation","","","",""
"645.5450000064448","img/image_stim_f_stroop.png","70","image-keyboard-response","20","9010882","0.0-9.0-1.5","76ppm0","Tue Feb 09 2021 11:17:40 GMT+0100 (Centraleuropæisk normaltid)","2021","2","9","11","17","40","br00","21","female","right","84","79","39","4","2","","","","","test","fear","happy","f","true"
