"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"23218056.784999996","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","80218922","0.0-0.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","","","","","","",""
"5799.334999989718","","","survey-text","1","80224731","0.0-1.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","{""Q0"":""br00""}","","","","","","","",""
"2354.8350000046194","","","survey-text","2","80227088","0.0-2.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","{""Q0"":""21""}","","","","","","","",""
"4254.540000021458","","","survey-multi-select","3","80231346","0.0-3.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4453.294999986887","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","80235802","0.0-4.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","50","86","","","","",""
"10206.124999996275","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","80246008","0.0-5.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","50","73","","","","",""
"5392.164999995381","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","80251402","0.0-6.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","50","9","","","","",""
"36945.24499997869","","","survey-multi-select","7","80288361","0.0-7.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","{""Sleep"":[""2""],""Eat"":[""16""]}","[0,1]","","","","","","",""
"5558.374999992549","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","80293923","0.0-8.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","80296186","0.0-9.0-0.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","10","80301197","0.0-9.0-1.0","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","80301459","0.0-9.0-0.1","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","","","fixation","","","",""
"null","img/image_stim_h.png","null","image-keyboard-response","12","80306462","0.0-9.0-1.1","ed19un","Mon Feb 08 2021 12:52:44 GMT+0100 (Centraleuropæisk normaltid)","2021","2","8","12","52","44","br00","21","female","right","86","73","9","2","16","","","","","test","happy","happy","h","false"
