"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1031.9199999994453","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1034","0.0-0.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","","","","","","","","",""
"2311.8750000003274","","","survey-text","1","3355","0.0-1.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","{""Q0"":""br00""}","","","","","","","",""
"2497.755000000325","","","survey-text","2","5856","0.0-2.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","{""Q0"":""21""}","","","","","","","",""
"4093.3350000004793","","","survey-multi-select","3","9955","0.0-3.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4882.584999999381","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","14841","0.0-4.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","","","50","63","","","","",""
"5699.835000000348","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","20542","0.0-5.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","","","50","18","","","","",""
"5294.580000000678","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25838","0.0-6.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","","","50","10","","","","",""
"23914.255000000594","","","survey-multi-select","7","49768","0.0-7.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","{""Sleep"":[""5""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"1469.495000000279","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","51239","0.0-8.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","55248","0.0-9.0-0.0","koj84l","Sun Feb 14 2021 16:02:15 GMT+0100 (Centraleuropæisk normaltid)","2021","2","14","16","2","15","br00","21","female","right","63","18","10","5","4","","","","","fixation","","","",""
