"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1918","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1923","0.0-0.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","","","","",""
"3393.000000000001","","","survey-text","1","5363","0.0-1.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","{""Q0"":""cs12""}","","","","","","","",""
"4331","","","survey-text","2","9699","0.0-2.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","{""Q0"":""21, 20""}","","","","","","","",""
"3595","","","survey-multi-select","3","13299","0.0-3.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"4046.999999999998","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","17350","0.0-4.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","50","43","","","","",""
"7302","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","24653","0.0-5.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","50","50","","","","",""
"12757","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","37410","0.0-6.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","50","58","","","","",""
"13346","","","survey-multi-select","7","50768","0.0-7.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","{""Sleep"":[""3""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"2933","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","53702","0.0-8.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","56956","0.0-9.0-0.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"500","img/image_stim_f.png","70","image-keyboard-response","10","57467","0.0-9.0-1.0","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","59225","0.0-9.0-0.1","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"559.9999999999927","img/image_stim_h.png","72","image-keyboard-response","12","59788","0.0-9.0-1.1","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","61292","0.0-9.0-0.2","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"808","img/image_stim_f_stroop.png","70","image-keyboard-response","14","62102","0.0-9.0-1.2","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","62855","0.0-9.0-0.3","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"617.0000000000073","img/image_stim_h_stroop.png","72","image-keyboard-response","16","63474","0.0-9.0-1.3","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","64977","0.0-9.0-0.4","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"471","img/image_stim_h.png","72","image-keyboard-response","18","65450","0.0-9.0-1.4","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","65952","0.0-9.0-0.5","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"381","img/image_stim_f_stroop.png","72","image-keyboard-response","20","66335","0.0-9.0-1.5","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","67839","0.0-9.0-0.6","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","fixation","","","",""
"448","img/image_stim_h_stroop.png","72","image-keyboard-response","22","68288","0.0-9.0-1.6","0qpf78","Fri Feb 19 2021 16:25:46 GMT+0900 (KST)","2021","2","19","16","25","46","cs12","21, 20","female","right","43","50","58","3","2","","","","","test","happy","fear","h","true"
