"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"39621","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","39623","0.0-0.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","","","","","","",""
"41585","","","survey-text","1","81224","0.0-1.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","{""Q0"":""cs12""}","","","","","","","",""
"793168","","","survey-text","2","874403","0.0-2.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","{""Q0"":""21, 20""}","","","","","","","",""
"7122.000000000116","","","survey-multi-select","3","881528","0.0-3.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"11177","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","892708","0.0-4.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","50","17","","","","",""
"8322","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","901032","0.0-5.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","50","33","","","","",""
"5646.999999999884","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","906680","0.0-6.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","50","29","","","","",""
"66816.99999999988","","","survey-multi-select","7","973509","0.0-7.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","{""Sleep"":[""5""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"55354.99999999988","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","1028867","0.0-8.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","1031869","0.0-9.0-0.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","","","fixation","","","",""
"3083.0000000001164","img/image_stim_f.png","70","image-keyboard-response","10","1034956","0.0-9.0-1.0","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","1036960","0.0-9.0-0.1","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","","","fixation","","","",""
"1307","img/image_stim_f_stroop.png","70","image-keyboard-response","12","1038269","0.0-9.0-1.1","80hplg","Tue Feb 16 2021 16:23:37 GMT+0900 (KST)","2021","2","16","16","23","37","cs12","21, 20","female","right","17","33","29","5","4","","","","","test","fear","happy","f","true"
