"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"12487","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","12489","0.0-0.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","","","","","","",""
"2718","","","survey-text","1","15230","0.0-1.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","{""Q0"":""em98""}","","","","","","","",""
"11829.999999999998","","","survey-text","2","27064","0.0-2.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","{""Q0"":""22""}","","","","","","","",""
"3844","","","survey-multi-select","3","30911","0.0-3.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3607","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","34520","0.0-4.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","50","70","","","","",""
"10143","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","44665","0.0-5.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","50","5","","","","",""
"4933.999999999993","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","49602","0.0-6.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","50","69","","","","",""
"8025","","","survey-multi-select","7","57644","0.0-7.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","{""Sleep"":[""1""],""Eat"":[""8""]}","[0,1]","","","","","","",""
"4770.000000000007","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","8","62415","0.0-8.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","66420","0.0-9.0-0.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","","","fixation","","","",""
"1335","img/image_stim_h.png","72","image-keyboard-response","10","67760","0.0-9.0-1.0","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","68267","0.0-9.0-0.1","bchdny","Tue Feb 09 2021 07:21:48 GMT+0100 (CET)","2021","2","9","7","21","48","em98","22","female","right","70","5","69","1","8","","","","","fixation","","","",""
