"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"19530","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","19534","0.0-0.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","","","","",""
"12721","","","survey-text","1","32264","0.0-1.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","{""Q0"":""em98""}","","","","","","","",""
"4069","","","survey-text","2","36338","0.0-2.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","{""Q0"":""22""}","","","","","","","",""
"4211","","","survey-multi-select","3","40551","0.0-3.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"6074.000000000007","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","46628","0.0-4.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","50","72","","","","",""
"4085","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","50715","0.0-5.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","50","36","","","","",""
"3083","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","53800","0.0-6.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","50","100","","","","",""
"21634","","","survey-multi-select","7","75449","0.0-7.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","{""Sleep"":[""14""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"52047.000000000015","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","127498","0.0-8.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","130506","0.0-9.0-0.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"null","img/image_stim_h_stroop.png","null","image-keyboard-response","10","135511","0.0-9.0-1.0","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","136270","0.0-9.0-0.1","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"null","img/image_stim_f.png","null","image-keyboard-response","12","141273","0.0-9.0-1.1","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","143029","0.0-9.0-0.2","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"1012","img/image_stim_h.png","32","image-keyboard-response","14","144044","0.0-9.0-1.2","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","144299","0.0-9.0-0.3","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"null","img/image_stim_f_stroop.png","null","image-keyboard-response","16","149302","0.0-9.0-1.3","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","149805","0.0-9.0-0.4","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"2549","img/image_stim_f_stroop.png","70","image-keyboard-response","18","152358","0.0-9.0-1.4","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","152612","0.0-9.0-0.5","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"868","img/image_stim_f.png","70","image-keyboard-response","20","153484","0.0-9.0-1.5","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","155489","0.0-9.0-0.6","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"1330","img/image_stim_h_stroop.png","72","image-keyboard-response","22","156823","0.0-9.0-1.6","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","158826","0.0-9.0-0.7","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"775.0000000000291","img/image_stim_h.png","72","image-keyboard-response","24","159606","0.0-9.0-1.7","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","161361","0.0-9.0-0.8","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"594.0000000000291","img/image_stim_h.png","72","image-keyboard-response","26","161956","0.0-9.0-1.8","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","163462","0.0-9.0-0.9","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"592.0000000000291","img/image_stim_f.png","70","image-keyboard-response","28","164057","0.0-9.0-1.9","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","164313","0.0-9.0-0.10","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"1079","img/image_stim_f_stroop.png","70","image-keyboard-response","30","165397","0.0-9.0-1.10","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","166402","0.0-9.0-0.11","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"477","img/image_stim_h_stroop.png","72","image-keyboard-response","32","166883","0.0-9.0-1.11","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","167388","0.0-9.0-0.12","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"491","img/image_stim_h.png","72","image-keyboard-response","34","167882","0.0-9.0-1.12","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","169887","0.0-9.0-0.13","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"560.0000000000291","img/image_stim_f.png","70","image-keyboard-response","36","170450","0.0-9.0-1.13","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","171206","0.0-9.0-0.14","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"583","img/image_stim_h_stroop.png","72","image-keyboard-response","38","171792","0.0-9.0-1.14","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","172798","0.0-9.0-0.15","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"1049.999999999971","img/image_stim_f_stroop.png","70","image-keyboard-response","40","173851","0.0-9.0-1.15","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","174607","0.0-9.0-0.16","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"739.0000000000291","img/image_stim_h.png","72","image-keyboard-response","42","175349","0.0-9.0-1.16","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","176354","0.0-9.0-0.17","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"937","img/image_stim_f.png","70","image-keyboard-response","44","177292","0.0-9.0-1.17","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","179048","0.0-9.0-0.18","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"623.9999999999709","img/image_stim_h_stroop.png","72","image-keyboard-response","46","179675","0.0-9.0-1.18","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","181432","0.0-9.0-0.19","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"608","img/image_stim_f_stroop.png","70","image-keyboard-response","48","182042","0.0-9.0-1.19","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","182298","0.0-9.0-0.20","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"637.9999999999709","img/image_stim_f_stroop.png","70","image-keyboard-response","50","182939","0.0-9.0-1.20","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","184196","0.0-9.0-0.21","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"615.9999999999709","img/image_stim_h_stroop.png","72","image-keyboard-response","52","184816","0.0-9.0-1.21","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","185823","0.0-9.0-0.22","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"954","img/image_stim_f.png","70","image-keyboard-response","54","186781","0.0-9.0-1.22","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","187538","0.0-9.0-0.23","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"782","img/image_stim_h.png","72","image-keyboard-response","56","188324","0.0-9.0-1.23","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","190331","0.0-9.0-0.24","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"765.0000000000291","img/image_stim_f.png","70","image-keyboard-response","58","191098","0.0-9.0-1.24","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","191355","0.0-9.0-0.25","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"1408","img/image_stim_h_stroop.png","72","image-keyboard-response","60","192766","0.0-9.0-1.25","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","194523","0.0-9.0-0.26","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"838","img/image_stim_h.png","72","image-keyboard-response","62","195364","0.0-9.0-1.26","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","196871","0.0-9.0-0.27","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"593","img/image_stim_f_stroop.png","70","image-keyboard-response","64","197467","0.0-9.0-1.27","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","198723","0.0-9.0-0.28","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"500","img/image_stim_h.png","72","image-keyboard-response","66","199227","0.0-9.0-1.28","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","200983","0.0-9.0-0.29","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"744","img/image_stim_h_stroop.png","70","image-keyboard-response","68","201729","0.0-9.0-1.29","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","202986","0.0-9.0-0.30","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"621.0000000000291","img/image_stim_f.png","70","image-keyboard-response","70","203611","0.0-9.0-1.30","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","205369","0.0-9.0-0.31","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","fixation","","","",""
"619","img/image_stim_f_stroop.png","70","image-keyboard-response","72","205991","0.0-9.0-1.31","rnyacw","Sun Feb 07 2021 22:47:20 GMT+0100 (CET)","2021","2","7","22","47","20","em98","22","female","right","72","36","100","14","1","","","","","test","fear","happy","f","true"
