"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1231","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1234","0.0-0.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","","","","","","",""
"2358","","","survey-text","1","3616","0.0-1.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","{""Q0"":""em98""}","","","","","","","",""
"2645","","","survey-text","2","6267","0.0-2.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","{""Q0"":""22""}","","","","","","","",""
"4138","","","survey-multi-select","3","10408","0.0-3.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3664","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","14075","0.0-4.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","50","69","","","","",""
"4687","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","18765","0.0-5.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","50","37","","","","",""
"5046","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","23813","0.0-6.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","50","68","","","","",""
"8885","","","survey-multi-select","7","32713","0.0-7.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","{""Sleep"":[""2""],""Eat"":[""9""]}","[0,1]","","","","","","",""
"2213","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","34928","0.0-8.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","37183","0.0-9.0-0.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","","","fixation","","","",""
"711","img/image_stim_f_stroop.png","70","image-keyboard-response","10","37900","0.0-9.0-1.0","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","39155","0.0-9.0-0.1","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","","","fixation","","","",""
"551","img/image_stim_f.png","70","image-keyboard-response","12","39711","0.0-9.0-1.1","vpvx9u","Thu Feb 11 2021 07:54:18 GMT+0100 (CET)","2021","2","11","7","54","18","em98","22","female","right","69","37","68","2","9","","","","","test","fear","fear","f","true"
