"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2325.5","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2328","0.0-0.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","","","","",""
"4943.799999982119","","","survey-text","1","7277","0.0-1.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","{""Q0"":""fa52""}","","","","","","","",""
"2505.5999999940395","","","survey-text","2","9787","0.0-2.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","{""Q0"":""21""}","","","","","","","",""
"2714.9000000059605","","","survey-multi-select","3","12506","0.0-3.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"25300.5","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","37811","0.0-4.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","50","32","","","","",""
"6904.9000000059605","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","44718","0.0-5.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","50","25","","","","",""
"9055.5","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","53775","0.0-6.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","50","100","","","","",""
"13311.100000023842","","","survey-multi-select","7","67099","0.0-7.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","{""Sleep"":[""3""],""Eat"":[""1""]}","[0,1]","","","","","","",""
"9580.800000011921","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","76684","0.0-8.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","79187","0.0-9.0-0.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
"382.90000000596046","img/image_stim_f.png","72","image-keyboard-response","10","79579","0.0-9.0-1.0","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","81583","0.0-9.0-0.1","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
"441.09999999403954","img/image_stim_f_stroop.png","70","image-keyboard-response","12","82025","0.0-9.0-1.1","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","82778","0.0-9.0-0.2","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
"437.59999999403954","img/image_stim_h_stroop.png","72","image-keyboard-response","14","83218","0.0-9.0-1.2","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","84721","0.0-9.0-0.3","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
"437.5","img/image_stim_h.png","72","image-keyboard-response","16","85161","0.0-9.0-1.3","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","85415","0.0-9.0-0.4","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
"409.19999998807907","img/image_stim_f_stroop.png","70","image-keyboard-response","18","85826","0.0-9.0-1.4","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","87828","0.0-9.0-0.5","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
"388.90000000596046","img/image_stim_h.png","72","image-keyboard-response","20","88218","0.0-9.0-1.5","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","88473","0.0-9.0-0.6","85m6hk","Sat Feb 05 2022 09:27:55 GMT+0100 (Central European Standard Time)","2022","2","5","9","27","55","fa52","21","male","right","32","25","100","3","1","","","","","fixation","","","",""
