"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3181.7999999821186","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","3183","0.0-0.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","","","","",""
"9764.600000023842","","","survey-text","1","12954","0.0-1.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","{""Q0"":""fa52""}","","","","","","","",""
"4270.9000000059605","","","survey-text","2","17229","0.0-2.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","{""Q0"":""21""}","","","","","","","",""
"5457.200000017881","","","survey-multi-select","3","22689","0.0-3.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"13509.299999982119","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","36202","0.0-4.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","50","73","","","","",""
"14014.59999999404","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","50219","0.0-5.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","50","64","","","","",""
"8032.300000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","58252","0.0-6.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","50","28","","","","",""
"44252.69999998808","","","survey-multi-select","7","102533","0.0-7.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","{""Sleep"":[""0""],""Eat"":[""16""]}","[0,1]","","","","","","",""
"15851.700000017881","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","118390","0.0-8.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","121642","0.0-9.0-0.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"1019.6999999880791","img/image_stim_f.png","70","image-keyboard-response","10","122674","0.0-9.0-1.0","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","123677","0.0-9.0-0.1","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"539.5","img/image_stim_f_stroop.png","70","image-keyboard-response","12","124218","0.0-9.0-1.1","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","125719","0.0-9.0-0.2","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"481.2000000178814","img/image_stim_h.png","72","image-keyboard-response","14","126202","0.0-9.0-1.2","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","126704","0.0-9.0-0.3","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"488.69999998807907","img/image_stim_h_stroop.png","72","image-keyboard-response","16","127194","0.0-9.0-1.3","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","128198","0.0-9.0-0.4","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"482.7000000178814","img/image_stim_h.png","72","image-keyboard-response","18","128682","0.0-9.0-1.4","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","130434","0.0-9.0-0.5","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"430.40000000596046","img/image_stim_f.png","70","image-keyboard-response","20","130866","0.0-9.0-1.5","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","131619","0.0-9.0-0.6","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"349.59999999403954","img/image_stim_f_stroop.png","70","image-keyboard-response","22","131970","0.0-9.0-1.6","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","132723","0.0-9.0-0.7","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"436.90000000596046","img/image_stim_h_stroop.png","72","image-keyboard-response","24","133162","0.0-9.0-1.7","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","134916","0.0-9.0-0.8","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"500.69999998807907","img/image_stim_f.png","70","image-keyboard-response","26","135418","0.0-9.0-1.8","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","136421","0.0-9.0-0.9","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"347.80000001192093","img/image_stim_f_stroop.png","70","image-keyboard-response","28","136770","0.0-9.0-1.9","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","138273","0.0-9.0-0.10","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"439.60000002384186","img/image_stim_h.png","72","image-keyboard-response","30","138714","0.0-9.0-1.10","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","140717","0.0-9.0-0.11","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"722.8999999761581","img/image_stim_h_stroop.png","72","image-keyboard-response","32","141442","0.0-9.0-1.11","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","141695","0.0-9.0-0.12","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","fixation","","","",""
"425.69999998807907","img/image_stim_h.png","72","image-keyboard-response","34","142122","0.0-9.0-1.12","jkdxqb","Fri Feb 04 2022 05:56:53 GMT+0100 (Central European Standard Time)","2022","2","4","5","56","53","fa52","21","male","right","73","64","28","0","16","","","","","test","happy","happy","h","true"
