"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1646.7999999523163","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1648","0.0-0.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","","","","",""
"2974.099999964237","","","survey-text","1","4633","0.0-1.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","{""Q0"":""fa52""}","","","","","","","",""
"1739.1000000238419","","","survey-text","2","6376","0.0-2.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","{""Q0"":""21""}","","","","","","","",""
"3437.800000011921","","","survey-multi-select","3","9817","0.0-3.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","{""Gender"":[""male""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"7507.700000047684","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","17328","0.0-4.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","50","83","","","","",""
"4145.200000047684","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","21475","0.0-5.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","50","10","","","","",""
"4185.300000011921","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","25662","0.0-6.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","50","77","","","","",""
"13251.600000023842","","","survey-multi-select","7","38929","0.0-7.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","{""Sleep"":[""14""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"9427.300000011921","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","48360","0.0-8.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","52364","0.0-9.0-0.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","fixation","","","",""
"404.80000001192093","img/image_stim_h_stroop.png","72","image-keyboard-response","10","52776","0.0-9.0-1.0","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","53030","0.0-9.0-0.1","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","fixation","","","",""
"409.4000000357628","img/image_stim_f_stroop.png","70","image-keyboard-response","12","53441","0.0-9.0-1.1","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","53943","0.0-9.0-0.2","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","fixation","","","",""
"463.89999997615814","img/image_stim_f.png","70","image-keyboard-response","14","54408","0.0-9.0-1.2","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","55160","0.0-9.0-0.3","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","fixation","","","",""
"381.30000001192093","img/image_stim_h.png","72","image-keyboard-response","16","55544","0.0-9.0-1.3","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","57296","0.0-9.0-0.4","ycjhb9","Tue Feb 08 2022 00:00:43 GMT+0100 (Central European Standard Time)","2022","2","8","0","0","43","fa52","21","male","right","83","10","77","14","4","","","","","fixation","","","",""
