"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1582","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1585","0.0-0.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","","","","",""
"6653","","","survey-text","1","8253","0.0-1.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","{""Q0"":""fj ""}","","","","","","","",""
"5557.000000000002","","","survey-text","2","13822","0.0-2.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","{""Q0"":""21""}","","","","","","","",""
"5555","","","survey-multi-select","3","19382","0.0-3.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3769","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","23158","0.0-4.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","50","23","","","","",""
"3627","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","26789","0.0-5.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","50","18","","","","",""
"2886","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","29677","0.0-6.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","50","18","","","","",""
"10093","","","survey-multi-select","7","39791","0.0-7.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","{""Sleep"":[""2""],""Eat"":[""1"",""2""]}","[0,1]","","","","","","",""
"32400.000000000015","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","72194","0.0-8.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","75198","0.0-9.0-0.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"1226.9999999999854","img/image_stim_f.png","70","image-keyboard-response","10","76434","0.0-9.0-1.0","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","77942","0.0-9.0-0.1","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"915","img/image_stim_f_stroop.png","70","image-keyboard-response","12","78863","0.0-9.0-1.1","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","79370","0.0-9.0-0.2","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"584","img/image_stim_h.png","72","image-keyboard-response","14","79961","0.0-9.0-1.2","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","80468","0.0-9.0-0.3","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"435","img/image_stim_h_stroop.png","72","image-keyboard-response","16","80910","0.0-9.0-1.3","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","81665","0.0-9.0-0.4","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"439","img/image_stim_h_stroop.png","72","image-keyboard-response","18","82109","0.0-9.0-1.4","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","84113","0.0-9.0-0.5","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"483","img/image_stim_f.png","70","image-keyboard-response","20","84602","0.0-9.0-1.5","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","86356","0.0-9.0-0.6","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"519","img/image_stim_h.png","72","image-keyboard-response","22","86879","0.0-9.0-1.6","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","87384","0.0-9.0-0.7","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"591.0000000000146","img/image_stim_f_stroop.png","70","image-keyboard-response","24","87980","0.0-9.0-1.7","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","89985","0.0-9.0-0.8","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"598","img/image_stim_f.png","70","image-keyboard-response","26","90589","0.0-9.0-1.8","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","91844","0.0-9.0-0.9","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"402","img/image_stim_f_stroop.png","70","image-keyboard-response","28","92252","0.0-9.0-1.9","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","93258","0.0-9.0-0.10","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"619","img/image_stim_h_stroop.png","72","image-keyboard-response","30","93881","0.0-9.0-1.10","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","95389","0.0-9.0-0.11","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"519","img/image_stim_h.png","72","image-keyboard-response","32","95912","0.0-9.0-1.11","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","96168","0.0-9.0-0.12","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","fixation","","","",""
"483","img/image_stim_h.png","72","image-keyboard-response","34","96656","0.0-9.0-1.12","v3rrrj","Wed Feb 10 2021 10:06:30 GMT+0100 (CET)","2021","2","10","10","6","30","fj ","21","female","right","23","18","18","2","1,2","","","","","test","happy","happy","h","true"
