"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1933","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1934","0.0-0.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","","","","",""
"3649.399999976158","","","survey-text","1","5587","0.0-1.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","{""Q0"":""ga02""}","","","","","","","",""
"3733.1999999284744","","","survey-text","2","9322","0.0-2.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","{""Q0"":""19""}","","","","","","","",""
"4493.299999952316","","","survey-multi-select","3","13817","0.0-3.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"20592.099999904633","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","34412","0.0-4.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","50","85","","","","",""
"4641.5","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","39062","0.0-5.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","50","36","","","","",""
"4901.299999952316","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","43964","0.0-6.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","50","28","","","","",""
"29444.600000023842","","","survey-multi-select","7","73424","0.0-7.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","{""Sleep"":[""16""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"15388.5","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","88816","0.0-8.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","91341","0.0-9.0-0.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"755.8999999761581","img/image_stim_f_stroop.png","70","image-keyboard-response","10","92109","0.0-9.0-1.0","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","93122","0.0-9.0-0.1","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"389.7000000476837","img/image_stim_h_stroop.png","72","image-keyboard-response","12","93513","0.0-9.0-1.1","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","95519","0.0-9.0-0.2","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"326.2999999523163","img/image_stim_h.png","72","image-keyboard-response","14","95846","0.0-9.0-1.2","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","97351","0.0-9.0-0.3","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"406.39999997615814","img/image_stim_f.png","70","image-keyboard-response","16","97759","0.0-9.0-1.3","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","98778","0.0-9.0-0.4","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"424.2000000476837","img/image_stim_h_stroop.png","72","image-keyboard-response","18","99204","0.0-9.0-1.4","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","99468","0.0-9.0-0.5","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"436.5","img/image_stim_f.png","70","image-keyboard-response","20","99906","0.0-9.0-1.5","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","101916","0.0-9.0-0.6","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"392.2999999523163","img/image_stim_h.png","70","image-keyboard-response","22","102310","0.0-9.0-1.6","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","102828","0.0-9.0-0.7","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"473","img/image_stim_f_stroop.png","70","image-keyboard-response","24","103302","0.0-9.0-1.7","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","105065","0.0-9.0-0.8","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","fixation","","","",""
"543.1999999284744","img/image_stim_f_stroop.png","70","image-keyboard-response","26","105610","0.0-9.0-1.8","03t4j2","Sat Feb 05 2022 00:42:37 GMT+0100 (Central European Standard Time)","2022","2","5","0","42","37","ga02","19","female","left","85","36","28","16","4","","","","","test","fear","happy","f","true"
