"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"2235.3000000715256","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","2236","0.0-0.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","","","","",""
"3547.100000023842","","","survey-text","1","5788","0.0-1.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","{""Q0"":""ga02""}","","","","","","","",""
"2270.6999999284744","","","survey-text","2","8063","0.0-2.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","{""Q0"":""19""}","","","","","","","",""
"3627.5","","","survey-multi-select","3","11694","0.0-3.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"5336.799999952316","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","17036","0.0-4.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","50","78","","","","",""
"3942.600000023842","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","20981","0.0-5.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","50","77","","","","",""
"7362.699999928474","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","28345","0.0-6.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","50","78","","","","",""
"21523.699999928474","","","survey-multi-select","7","49881","0.0-7.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","{""Sleep"":[""10""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"5531.699999928474","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","55418","0.0-8.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","59433","0.0-9.0-0.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"398.7999999523163","img/image_stim_f_stroop.png","70","image-keyboard-response","10","59845","0.0-9.0-1.0","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","61353","0.0-9.0-0.1","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"393.7999999523163","img/image_stim_h_stroop.png","72","image-keyboard-response","12","61748","0.0-9.0-1.1","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","62003","0.0-9.0-0.2","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"486","img/image_stim_f.png","70","image-keyboard-response","14","62491","0.0-9.0-1.2","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","62994","0.0-9.0-0.3","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"282.2999999523163","img/image_stim_h.png","72","image-keyboard-response","16","63277","0.0-9.0-1.3","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","65034","0.0-9.0-0.4","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"413.10000002384186","img/image_stim_f.png","70","image-keyboard-response","18","65449","0.0-9.0-1.4","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","66957","0.0-9.0-0.5","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"398.39999997615814","img/image_stim_h.png","72","image-keyboard-response","20","67356","0.0-9.0-1.5","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","68866","0.0-9.0-0.6","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"444.10000002384186","img/image_stim_f_stroop.png","70","image-keyboard-response","22","69311","0.0-9.0-1.6","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","71320","0.0-9.0-0.7","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"331.3000000715256","img/image_stim_h_stroop.png","72","image-keyboard-response","24","71652","0.0-9.0-1.7","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","73407","0.0-9.0-0.8","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"301.2999999523163","img/image_stim_h_stroop.png","72","image-keyboard-response","26","73709","0.0-9.0-1.8","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","75217","0.0-9.0-0.9","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"409.39999997615814","img/image_stim_f.png","70","image-keyboard-response","28","75628","0.0-9.0-1.9","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","77142","0.0-9.0-0.10","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"391.5","img/image_stim_h.png","72","image-keyboard-response","30","77535","0.0-9.0-1.10","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","78543","0.0-9.0-0.11","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"430.09999990463257","img/image_stim_f_stroop.png","70","image-keyboard-response","32","78974","0.0-9.0-1.11","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","80734","0.0-9.0-0.12","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"331","img/image_stim_h.png","72","image-keyboard-response","34","81067","0.0-9.0-1.12","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","82822","0.0-9.0-0.13","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"415.10000002384186","img/image_stim_f.png","70","image-keyboard-response","36","83239","0.0-9.0-1.13","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","84748","0.0-9.0-0.14","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"416","img/image_stim_f_stroop.png","70","image-keyboard-response","38","85166","0.0-9.0-1.14","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","86423","0.0-9.0-0.15","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"399","img/image_stim_h_stroop.png","72","image-keyboard-response","40","86823","0.0-9.0-1.15","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","88831","0.0-9.0-0.16","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"482.59999990463257","img/image_stim_f.png","70","image-keyboard-response","42","89314","0.0-9.0-1.16","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","89575","0.0-9.0-0.17","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"436.5","img/image_stim_h.png","72","image-keyboard-response","44","90013","0.0-9.0-1.17","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","91530","0.0-9.0-0.18","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"378.39999997615814","img/image_stim_h_stroop.png","72","image-keyboard-response","46","91910","0.0-9.0-1.18","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","92667","0.0-9.0-0.19","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"474.60000002384186","img/image_stim_f_stroop.png","70","image-keyboard-response","48","93143","0.0-9.0-1.19","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","93398","0.0-9.0-0.20","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"521.1000000238419","img/image_stim_f.png","70","image-keyboard-response","50","93921","0.0-9.0-1.20","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","95182","0.0-9.0-0.21","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"255.29999995231628","img/image_stim_h.png","72","image-keyboard-response","52","95439","0.0-9.0-1.21","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","95949","0.0-9.0-0.22","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"379.5","img/image_stim_f_stroop.png","70","image-keyboard-response","54","96330","0.0-9.0-1.22","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","97587","0.0-9.0-0.23","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"259.5","img/image_stim_h_stroop.png","72","image-keyboard-response","56","97847","0.0-9.0-1.23","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","99858","0.0-9.0-0.24","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
"328.39999997615814","img/image_stim_h_stroop.png","70","image-keyboard-response","58","100188","0.0-9.0-1.24","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","100945","0.0-9.0-0.25","53kkeq","Sun Feb 06 2022 20:02:19 GMT+0100 (Central European Standard Time)","2022","2","6","20","2","19","ga02","19","female","left","78","77","78","10","6","","","","","fixation","","","",""
