"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"5547.700000047684","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","5549","0.0-0.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","","","","",""
"6756.799999952316","","","survey-text","1","12310","0.0-1.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","{""Q0"":""ga02""}","","","","","","","",""
"2964.7999999523163","","","survey-text","2","15277","0.0-2.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","{""Q0"":""19""}","","","","","","","",""
"4960.600000023842","","","survey-multi-select","3","20241","0.0-3.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"6107.300000071526","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","26354","0.0-4.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","50","100","","","","",""
"8623","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","34979","0.0-5.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","50","66","","","","",""
"6409.399999976158","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","41390","0.0-6.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","50","64","","","","",""
"17037.699999928474","","","survey-multi-select","7","58443","0.0-7.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","{""Sleep"":[""1""],""Eat"":[""10""]}","[0,1]","","","","","","",""
"6813.599999904633","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","65261","0.0-8.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","68263","0.0-9.0-0.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"482.39999997615814","img/image_stim_h.png","72","image-keyboard-response","10","68757","0.0-9.0-1.0","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","70761","0.0-9.0-0.1","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"373.59999990463257","img/image_stim_h_stroop.png","72","image-keyboard-response","12","71136","0.0-9.0-1.1","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","72889","0.0-9.0-0.2","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"358.2000000476837","img/image_stim_f.png","70","image-keyboard-response","14","73248","0.0-9.0-1.2","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","74251","0.0-9.0-0.3","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"492","img/image_stim_f_stroop.png","70","image-keyboard-response","16","74745","0.0-9.0-1.3","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","75248","0.0-9.0-0.4","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"382","img/image_stim_h_stroop.png","72","image-keyboard-response","18","75632","0.0-9.0-1.4","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","77386","0.0-9.0-0.5","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"374.2999999523163","img/image_stim_h.png","72","image-keyboard-response","20","77761","0.0-9.0-1.5","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","79015","0.0-9.0-0.6","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"299.2000000476837","img/image_stim_f_stroop.png","72","image-keyboard-response","22","79316","0.0-9.0-1.6","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","79820","0.0-9.0-0.7","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"388.3000000715256","img/image_stim_f.png","70","image-keyboard-response","24","80209","0.0-9.0-1.7","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","81963","0.0-9.0-0.8","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"425.2000000476837","img/image_stim_f_stroop.png","70","image-keyboard-response","26","82389","0.0-9.0-1.8","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","83143","0.0-9.0-0.9","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"385.60000002384186","img/image_stim_h_stroop.png","70","image-keyboard-response","28","83530","0.0-9.0-1.9","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","85283","0.0-9.0-0.10","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","fixation","","","",""
"428.60000002384186","img/image_stim_f.png","70","image-keyboard-response","30","85713","0.0-9.0-1.10","7pwz3v","Mon Feb 07 2022 08:39:53 GMT+0100 (Central European Standard Time)","2022","2","7","8","39","53","ga02","19","female","left","100","66","64","1","10","","","","","test","fear","fear","f","true"
