"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1119.1000000238419","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1121","0.0-0.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","","","","",""
"4726.100000023842","","","survey-text","1","5853","0.0-1.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","{""Q0"":""ga02""}","","","","","","","",""
"2734","","","survey-text","2","8590","0.0-2.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","{""Q0"":""19""}","","","","","","","",""
"8493.399999976158","","","survey-multi-select","3","17088","0.0-3.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"8241.600000023842","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","25333","0.0-4.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","50","100","","","","",""
"5643.899999976158","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","30978","0.0-5.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","50","39","","","","",""
"15198.799999952316","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","46178","0.0-6.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","50","100","","","","",""
"10287","","","survey-multi-select","7","56479","0.0-7.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","{""Sleep"":[""3""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"5115.900000095367","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","61600","0.0-8.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","63853","0.0-9.0-0.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"497.60000002384186","img/image_stim_f_stroop.png","70","image-keyboard-response","10","64359","0.0-9.0-1.0","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","64863","0.0-9.0-0.1","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"403.2000000476837","img/image_stim_h.png","72","image-keyboard-response","12","65267","0.0-9.0-1.1","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","67270","0.0-9.0-0.2","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"352.7000000476837","img/image_stim_f.png","70","image-keyboard-response","14","67624","0.0-9.0-1.2","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","69630","0.0-9.0-0.3","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"330.8000000715256","img/image_stim_h_stroop.png","72","image-keyboard-response","16","69962","0.0-9.0-1.3","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","70216","0.0-9.0-0.4","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"476.6999999284744","img/image_stim_f_stroop.png","70","image-keyboard-response","18","70694","0.0-9.0-1.4","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","72697","0.0-9.0-0.5","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"444.1999999284744","img/image_stim_h.png","72","image-keyboard-response","20","73142","0.0-9.0-1.5","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","74147","0.0-9.0-0.6","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"376.7000000476837","img/image_stim_f.png","70","image-keyboard-response","22","74525","0.0-9.0-1.6","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","76281","0.0-9.0-0.7","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
"373.89999997615814","img/image_stim_h_stroop.png","72","image-keyboard-response","24","76656","0.0-9.0-1.7","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","77659","0.0-9.0-0.8","n7hpuw","Tue Feb 08 2022 11:05:11 GMT+0100 (Central European Standard Time)","2022","2","8","11","5","11","ga02","19","female","left","100","39","100","3","0","","","","","fixation","","","",""
