"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"597.1999999284744","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","598","0.0-0.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","","","","",""
"5026","","","survey-text","1","5630","0.0-1.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","{""Q0"":""ga02""}","","","","","","","",""
"3838.7000000476837","","","survey-text","2","9474","0.0-2.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","{""Q0"":""19""}","","","","","","","",""
"3893","","","survey-multi-select","3","13371","0.0-3.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","{""Gender"":[""female""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"5894.600000023842","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","19270","0.0-4.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","50","100","","","","",""
"6125.600000023842","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","25397","0.0-5.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","50","96","","","","",""
"4761.299999952316","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","30160","0.0-6.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","50","83","","","","",""
"13042.899999976158","","","survey-multi-select","7","43222","0.0-7.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","{""Sleep"":[""8""],""Eat"":[""0""]}","[0,1]","","","","","","",""
"11323.399999976158","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","54550","0.0-8.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","56802","0.0-9.0-0.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","fixation","","","",""
"713.6000000238419","img/image_stim_f_stroop.png","70","image-keyboard-response","10","57528","0.0-9.0-1.0","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","58532","0.0-9.0-0.1","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","fixation","","","",""
"341.6999999284744","img/image_stim_h.png","72","image-keyboard-response","12","58875","0.0-9.0-1.1","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","59629","0.0-9.0-0.2","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","fixation","","","",""
"370.5","img/image_stim_h_stroop.png","72","image-keyboard-response","14","60001","0.0-9.0-1.2","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","60503","0.0-9.0-0.3","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","fixation","","","",""
"497.2999999523163","img/image_stim_f.png","70","image-keyboard-response","16","61001","0.0-9.0-1.3","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","63004","0.0-9.0-0.4","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","fixation","","","",""
"263.39999997615814","img/image_stim_h_stroop.png","72","image-keyboard-response","18","63269","0.0-9.0-1.4","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","65272","0.0-9.0-0.5","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","fixation","","","",""
"347","img/image_stim_f_stroop.png","70","image-keyboard-response","20","65620","0.0-9.0-1.5","x3aaon","Mon Feb 07 2022 15:32:27 GMT+0100 (Central European Standard Time)","2022","2","7","15","32","27","ga02","19","female","left","100","96","83","8","0","","","","","test","fear","happy","f","true"
