"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"24377.404999977443","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","82","html-keyboard-response","0","24378","0.0-0.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","","","","","","","","",""
"5010.719999962021","","","survey-text","1","29392","0.0-1.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","{""Q0"":""hh17""}","","","","","","","",""
"5370.500000019092","","","survey-text","2","34765","0.0-2.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","{""Q0"":""15""}","","","","","","","",""
"3182.2400000528432","","","survey-multi-select","3","37949","0.0-3.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"7401.26999997301","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","45352","0.0-4.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","","","50","82","","","","",""
"12141.79999998305","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","57494","0.0-5.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","","","50","12","","","","",""
"9564.985000004526","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","67060","0.0-6.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","","","50","52","","","","",""
"50673.69999998482","","","survey-multi-select","7","117747","0.0-7.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","{""Sleep"":[""16""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"8196.815000032075","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","8","125945","0.0-8.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","128452","0.0-9.0-0.0","0oozdd","Sun Feb 07 2021 22:05:02 GMT+0100 (Central European Standard Time)","2021","2","7","22","5","2","hh17","15","male","left","82","12","52","16","2","","","","","fixation","","","",""
