"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1413","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1416","0.0-0.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","","","","","","",""
"1832","","","survey-text","1","3269","0.0-1.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","{""Q0"":""hp99""}","","","","","","","",""
"1126.000000000001","","","survey-text","2","4402","0.0-2.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","{""Q0"":""21""}","","","","","","","",""
"2541","","","survey-multi-select","3","6946","0.0-3.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3195","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","10144","0.0-4.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","50","75","","","","",""
"3187","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","13332","0.0-5.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","50","61","","","","",""
"2817","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","16150","0.0-6.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","50","50","","","","",""
"6522","","","survey-multi-select","7","22684","0.0-7.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","{""Sleep"":[""4""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"1688","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","24374","0.0-8.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","27377","0.0-9.0-0.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","","","fixation","","","",""
"672","img/image_stim_f_stroop.png","70","image-keyboard-response","10","28054","0.0-9.0-1.0","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","29309","0.0-9.0-0.1","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","","","fixation","","","",""
"628","img/image_stim_h_stroop.png","72","image-keyboard-response","12","29940","0.0-9.0-1.1","17kvsd","Thu Feb 18 2021 12:23:59 GMT+0100 (CET)","2021","2","18","12","23","59","hp99","21","female","right","75","61","50","4","4","","","","","test","happy","fear","h","true"
