"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1593","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1594","0.0-0.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","","","","",""
"2205","","","survey-text","1","3819","0.0-1.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","{""Q0"":""hp99""}","","","","","","","",""
"1161","","","survey-text","2","4986","0.0-2.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","{""Q0"":""21""}","","","","","","","",""
"2148","","","survey-multi-select","3","7136","0.0-3.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"3153.999999999999","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","10290","0.0-4.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","50","74","","","","",""
"3087","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","13378","0.0-5.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","50","71","","","","",""
"1764","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","15143","0.0-6.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","50","9","","","","",""
"5983","","","survey-multi-select","7","21141","0.0-7.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","{""Sleep"":[""6""],""Eat"":[""6""]}","[0,1]","","","","","","",""
"2033","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","23176","0.0-8.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","27179","0.0-9.0-0.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","fixation","","","",""
"687","img/image_stim_f_stroop.png","70","image-keyboard-response","10","27870","0.0-9.0-1.0","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","29375","0.0-9.0-0.1","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","fixation","","","",""
"647","img/image_stim_h_stroop.png","72","image-keyboard-response","12","30024","0.0-9.0-1.1","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","30779","0.0-9.0-0.2","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","fixation","","","",""
"594","img/image_stim_f.png","70","image-keyboard-response","14","31375","0.0-9.0-1.2","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","32379","0.0-9.0-0.3","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","fixation","","","",""
"692.0000000000036","img/image_stim_h.png","72","image-keyboard-response","16","33073","0.0-9.0-1.3","2wjjpf","Thu Feb 18 2021 14:02:13 GMT+0100 (CET)","2021","2","18","14","2","13","hp99","21","female","right","74","71","9","6","6","","","","","test","happy","happy","h","true"
