"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1116","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","0","1120","0.0-0.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","","","","","","","","",""
"2634","","","survey-text","1","3794","0.0-1.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","{""Q0"":""hp99""}","","","","","","","",""
"1220","","","survey-text","2","5021","0.0-2.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","{""Q0"":""21""}","","","","","","","",""
"4859","","","survey-multi-select","3","9883","0.0-3.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"2359","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","12246","0.0-4.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","","","50","50","","","","",""
"3582.000000000002","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","15831","0.0-5.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","","","50","28","","","","",""
"4189.999999999998","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","20024","0.0-6.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","","","50","9","","","","",""
"14234.999999999996","","","survey-multi-select","7","34277","0.0-7.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","{""Sleep"":[""0""],""Eat"":[""12""]}","[0,1]","","","","","","",""
"25669","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","59949","0.0-8.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","62201","0.0-9.0-0.0","8qk1ea","Thu Feb 18 2021 08:19:10 GMT+0100 (CET)","2021","2","18","8","19","10","hp99","21","female","right","50","28","9","0","12","","","","","fixation","","","",""
