"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","hunger","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"1191","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","74","html-keyboard-response","0","1194","0.0-0.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","","","","",""
"2213","","","survey-text","1","3424","0.0-1.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","{""Q0"":""hp99""}","","","","","","","",""
"1086","","","survey-text","2","4516","0.0-2.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","{""Q0"":""21""}","","","","","","","",""
"2686","","","survey-multi-select","3","7204","0.0-3.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","{""Gender"":[""female""],""Hand"":[""right""]}","[0,1]","","","","","","",""
"1839.999999999999","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","9047","0.0-4.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","50","81","","","","",""
"4103.999999999998","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","13152","0.0-5.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","50","60","","","","",""
"3427","<p>How Hungry or Satiated are you right now?</p>","","html-slider-response","6","16581","0.0-6.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","50","76","","","","",""
"9981","","","survey-multi-select","7","26578","0.0-7.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","{""Sleep"":[""2""],""Eat"":[""2""]}","[0,1]","","","","","","",""
"1363","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p><strong>Ignore the written words</strong>. Respond as fast as possible while being correct. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","32","html-keyboard-response","8","27943","0.0-8.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","9","31447","0.0-9.0-0.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"663.9999999999964","img/image_stim_f_stroop.png","70","image-keyboard-response","10","32116","0.0-9.0-1.0","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","11","33871","0.0-9.0-0.1","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"595","img/image_stim_h.png","72","image-keyboard-response","12","34468","0.0-9.0-1.1","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","13","35222","0.0-9.0-0.2","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"510","img/image_stim_h_stroop.png","72","image-keyboard-response","14","35735","0.0-9.0-1.2","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","15","37488","0.0-9.0-0.3","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"589","img/image_stim_f.png","70","image-keyboard-response","16","38080","0.0-9.0-1.3","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","17","39583","0.0-9.0-0.4","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"599","img/image_stim_h_stroop.png","72","image-keyboard-response","18","40184","0.0-9.0-1.4","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","19","40687","0.0-9.0-0.5","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"564","img/image_stim_h.png","72","image-keyboard-response","20","41253","0.0-9.0-1.5","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","21","41757","0.0-9.0-0.6","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"562","img/image_stim_f_stroop.png","70","image-keyboard-response","22","42321","0.0-9.0-1.6","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","23","43575","0.0-9.0-0.7","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"808","img/image_stim_f.png","70","image-keyboard-response","24","44385","0.0-9.0-1.7","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","25","44639","0.0-9.0-0.8","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"607","img/image_stim_f.png","70","image-keyboard-response","26","45249","0.0-9.0-1.8","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","27","46004","0.0-9.0-0.9","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"636","img/image_stim_f_stroop.png","70","image-keyboard-response","28","46642","0.0-9.0-1.9","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","29","46897","0.0-9.0-0.10","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"667.9999999999927","img/image_stim_h_stroop.png","72","image-keyboard-response","30","47568","0.0-9.0-1.10","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","31","49072","0.0-9.0-0.11","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"1246","img/image_stim_h.png","72","image-keyboard-response","32","50320","0.0-9.0-1.11","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","50824","0.0-9.0-0.12","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"763","img/image_stim_f.png","70","image-keyboard-response","34","51590","0.0-9.0-1.12","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","53344","0.0-9.0-0.13","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"936","img/image_stim_h_stroop.png","72","image-keyboard-response","36","54282","0.0-9.0-1.13","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","55287","0.0-9.0-0.14","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"881.9999999999927","img/image_stim_h.png","72","image-keyboard-response","38","56171","0.0-9.0-1.14","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","58174","0.0-9.0-0.15","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"667.0000000000073","img/image_stim_f_stroop.png","70","image-keyboard-response","40","58844","0.0-9.0-1.15","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","60849","0.0-9.0-0.16","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"716","img/image_stim_h.png","72","image-keyboard-response","42","61567","0.0-9.0-1.16","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","63072","0.0-9.0-0.17","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"658","img/image_stim_f.png","70","image-keyboard-response","44","63732","0.0-9.0-1.17","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","64736","0.0-9.0-0.18","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"644","img/image_stim_h_stroop.png","72","image-keyboard-response","46","65383","0.0-9.0-1.18","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","65638","0.0-9.0-0.19","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"685","img/image_stim_f_stroop.png","70","image-keyboard-response","48","66325","0.0-9.0-1.19","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","67830","0.0-9.0-0.20","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"694","img/image_stim_f.png","70","image-keyboard-response","50","68526","0.0-9.0-1.20","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","fear","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","70281","0.0-9.0-0.21","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"774","img/image_stim_f_stroop.png","70","image-keyboard-response","52","71056","0.0-9.0-1.21","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","fear","happy","f","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","71311","0.0-9.0-0.22","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"716","img/image_stim_h_stroop.png","72","image-keyboard-response","54","72028","0.0-9.0-1.22","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","73034","0.0-9.0-0.23","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"842","img/image_stim_h.png","72","image-keyboard-response","56","73878","0.0-9.0-1.23","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","happy","h","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","74382","0.0-9.0-0.24","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","fixation","","","",""
"676","img/image_stim_h_stroop.png","72","image-keyboard-response","58","75060","0.0-9.0-1.24","lrwh42","Thu Feb 18 2021 10:15:46 GMT+0100 (CET)","2021","2","18","10","15","46","hp99","21","female","right","81","60","76","2","2","","","","","test","happy","fear","h","true"
